USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 12429516 13124 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [slub_flushwq]
root             5     2       0      0 0                   0 I [netns]
root             9     2       0      0 0                   0 I [mm_percpu_wq]
root            11     2       0      0 0                   0 S [rcu_tasks_kthread]
root            12     2       0      0 0                   0 S [rcu_tasks_trace_kthread]
root            13     2       0      0 0                   0 S [ksoftirqd/0]
root            14     2       0      0 0                   0 I [rcu_preempt]
root            15     2       0      0 0                   0 S [rcuog/0]
root            16     2       0      0 0                   0 S [rcuop/0]
root            17     2       0      0 0                   0 S [rcub/0]
root            18     2       0      0 0                   0 S [rcuc/0]
root            19     2       0      0 0                   0 S [rcu_exp_gp_kthread_worker]
root            20     2       0      0 0                   0 S [rcu_exp_par_gp_kthread_worker]
root            21     2       0      0 0                   0 S [migration/0]
root            22     2       0      0 0                   0 S [cpuhp/0]
root            23     2       0      0 0                   0 S [cpuhp/1]
root            24     2       0      0 0                   0 S [migration/1]
root            25     2       0      0 0                   0 S [rcuc/1]
root            26     2       0      0 0                   0 S [ksoftirqd/1]
root            29     2       0      0 0                   0 S [rcuop/1]
root            30     2       0      0 0                   0 S [cpuhp/2]
root            31     2       0      0 0                   0 S [migration/2]
root            32     2       0      0 0                   0 S [rcuc/2]
root            33     2       0      0 0                   0 S [ksoftirqd/2]
root            36     2       0      0 0                   0 S [rcuop/2]
root            37     2       0      0 0                   0 S [cpuhp/3]
root            38     2       0      0 0                   0 S [migration/3]
root            39     2       0      0 0                   0 S [rcuc/3]
root            40     2       0      0 0                   0 S [ksoftirqd/3]
root            43     2       0      0 0                   0 S [rcuop/3]
root            44     2       0      0 0                   0 S [cpuhp/4]
root            45     2       0      0 0                   0 S [migration/4]
root            46     2       0      0 0                   0 S [rcuc/4]
root            47     2       0      0 0                   0 S [ksoftirqd/4]
root            50     2       0      0 0                   0 S [rcuog/4]
root            51     2       0      0 0                   0 S [rcuop/4]
root            52     2       0      0 0                   0 S [cpuhp/5]
root            53     2       0      0 0                   0 S [migration/5]
root            54     2       0      0 0                   0 S [rcuc/5]
root            55     2       0      0 0                   0 S [ksoftirqd/5]
root            58     2       0      0 0                   0 S [rcuop/5]
root            59     2       0      0 0                   0 S [cpuhp/6]
root            60     2       0      0 0                   0 S [migration/6]
root            61     2       0      0 0                   0 S [rcuc/6]
root            62     2       0      0 0                   0 S [ksoftirqd/6]
root            65     2       0      0 0                   0 S [rcuop/6]
root            66     2       0      0 0                   0 S [cpuhp/7]
root            67     2       0      0 0                   0 S [migration/7]
root            68     2       0      0 0                   0 S [rcuc/7]
root            69     2       0      0 0                   0 S [ksoftirqd/7]
root            72     2       0      0 0                   0 S [rcuop/7]
root            73     2       0      0 0                   0 I [inet_frag_wq]
root            82     2       0      0 0                   0 S [kauditd]
root            83     2       0      0 0                   0 S [khungtaskd]
root            84     2       0      0 0                   0 S [oom_reaper]
root            85     2       0      0 0                   0 I [writeback]
root            86     2       0      0 0                   0 S [kcompactd0]
root            88     2       0      0 0                   0 I [kblockd]
root            89     2       0      0 0                   0 I [blkcg_punt_bio]
root            90     2       0      0 0                   0 I [edac-poller]
root            91     2       0      0 0                   0 I [devfreq_wq]
root            92     2       0      0 0                   0 S [watchdogd]
root            95     2       0      0 0                   0 S [kswapd0]
root            97     2       0      0 0                   0 S [erofs_worker/0]
root            98     2       0      0 0                   0 S [erofs_worker/1]
root            99     2       0      0 0                   0 S [erofs_worker/2]
root           100     2       0      0 0                   0 S [erofs_worker/3]
root           101     2       0      0 0                   0 S [erofs_worker/4]
root           102     2       0      0 0                   0 S [erofs_worker/5]
root           103     2       0      0 0                   0 S [erofs_worker/6]
root           104     2       0      0 0                   0 S [erofs_worker/7]
root           105     2       0      0 0                   0 S [dmabuf-deferred-free-worker]
root           106     2       0      0 0                   0 I [uas]
root           107     2       0      0 0                   0 I [dm_bufio_cache]
root           108     2       0      0 0                   0 I [mld]
root           109     2       0      0 0                   0 I [ipv6_addrconf]
root           110     2       0      0 0                   0 S [krfcommd]
root           112     2       0      0 0                   0 S [irq/15-qcom-scm]
root           113     2       0      0 0                   0 S [gh-watchdog]
root           116     2       0      0 0                   0 S [irq/199-c271000.tsens0]
root           117     2       0      0 0                   0 S [irq/200-c271000.tsens0]
root           118     2       0      0 0                   0 S [irq/201-c272000.tsens1]
root           119     2       0      0 0                   0 S [irq/202-c272000.tsens1]
root           120     2       0      0 0                   0 S [irq/203-c273000.tsens2]
root           121     2       0      0 0                   0 S [irq/204-c273000.tsens2]
root           123     2       0      0 0                   0 S [irq/30-dcvsh-irq-0]
root           124     2       0      0 0                   0 S [irq/31-dcvsh-irq-3]
root           125     2       0      0 0                   0 S [irq/32-dcvsh-irq-7]
root           131     2       0      0 0                   0 S [halt_drain_rqs]
root           133     2       0      0 0                   0 I [kworker/2:1H-kblockd]
root           139     2       0      0 0                   0 S [core_ctl]
root           140     2       0      0 0                   0 S [gh_rm_recv_task]
root           141     2       0      0 0                   0 S [qcom,system-pool-refill-thread]
root           142     2       0      0 0                   0 S [mem_buf_trusted_vm_rcvr]
root           143     2       0      0 0                   0 I [bwmon_wq]
root           144     2       0      0 0                   0 S [irq/39-240b6400.qcom,bwmon-llcc]
root           145     2       0      0 0                   0 S [irq/40-24091000.qcom,bwmon-ddr]
root           149     2       0      0 0                   0 S [qrtr_ns]
root           150     2       0      0 0                   0 S [irq/272-qcom,qmp-tme]
root           151     2       0      0 0                   0 S [irq/69-arm-smmu global fault]
root           152     2       0      0 0                   0 S [irq/70-arm-smmu-context-fault]
root           154     2       0      0 0                   0 S [irq/71-arm-smmu-context-fault]
root           162     2       0      0 0                   0 S [irq/72-arm-smmu-context-fault]
root           163     2       0      0 0                   0 S [scsi_eh_0]
root           164     2       0      0 0                   0 I [scsi_tmf_0]
root           165     2       0      0 0                   0 I [qc_ufs_qos_swq]
root           166     2       0      0 0                   0 S [irq/251-bcl-lvl0]
root           167     2       0      0 0                   0 I [ufs_eh_wq_0]
root           168     2       0      0 0                   0 I [ufs_clk_gating_]
root           169     2       0      0 0                   0 S [irq/252-bcl-lvl1]
root           170     2       0      0 0                   0 I [ufs_clkscaling_]
root           171     2       0      0 0                   0 S [irq/253-bcl-lvl2]
root           172     2       0      0 0                   0 S [irq/260-bcl-lvl0]
root           173     2       0      0 0                   0 S [irq/261-bcl-lvl1]
root           174     2       0      0 0                   0 S [irq/262-bcl-lvl2]
root           175     2       0      0 0                   0 I [nvme-wq]
root           176     2       0      0 0                   0 I [nvme-reset-wq]
root           177     2       0      0 0                   0 I [nvme-delete-wq]
root           186     2       0      0 0                   0 S [f2fs_ckpt-8:13]
root           187     2       0      0 0                   0 S [f2fs_flush-8:13]
root           188     2       0      0 0                   0 S [f2fs_discard-8:13]
root           189     2       0      0 0                   0 S [f2fs_gc-8:13]
root           190     2       0      0 0                   0 I [kdmflush]
root           191     2       0      0 0                   0 I [kdmflush]
root           192     2       0      0 0                   0 I [kdmflush]
root           193     2       0      0 0                   0 I [kdmflush]
root           194     2       0      0 0                   0 I [kdmflush]
root           195     2       0      0 0                   0 I [kdmflush]
root           196     2       0      0 0                   0 I [kdmflush]
root           197     2       0      0 0                   0 I [kdmflush]
root           198     2       0      0 0                   0 I [kverityd]
root           199     2       0      0 0                   0 I [ext4-rsv-conver]
root           200     2       0      0 0                   0 I [kdmflush]
root           201     2       0      0 0                   0 I [kverityd]
root           202     2       0      0 0                   0 I [ext4-rsv-conver]
root           203     2       0      0 0                   0 I [kdmflush]
root           204     2       0      0 0                   0 I [kverityd]
root           205     2       0      0 0                   0 I [ext4-rsv-conver]
root           206     2       0      0 0                   0 I [kdmflush]
root           207     2       0      0 0                   0 I [kverityd]
root           208     2       0      0 0                   0 I [ext4-rsv-conver]
root           209     2       0      0 0                   0 I [kdmflush]
root           210     2       0      0 0                   0 I [kverityd]
root           211     2       0      0 0                   0 I [ext4-rsv-conver]
root           212     2       0      0 0                   0 I [kdmflush]
root           213     2       0      0 0                   0 I [kverityd]
root           214     2       0      0 0                   0 I [ext4-rsv-conver]
root           215     2       0      0 0                   0 I [kdmflush]
root           216     2       0      0 0                   0 I [kverityd]
root           217     2       0      0 0                   0 I [ext4-rsv-conver]
root           222     1 12470584  7264 0                   0 S init
