elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,208796751,1688,7,0x00,0x0D,5033492.0,-44869828.0,279150688.0,-801287550,-760793,-1392509969,0.025894686550305204,-0.059040654093212706,0.36767966551497305,0.373288990007066,-0.10288375313519513,0.330200292781302,0.14045415639436984,nearest,,-7501,0.6345792168553509,-0.5642268995390398,0.11434060679368954,0.5156388746107713,A3D09D1199A5A45C75F32C01,0xFE,0x0F,0x00,0x04,0x80,0x00,9876000DA3D09D1199A5A45C75F32C0182523DD02764F4FFEFFBFFACFEFFBF120040D5A78E428000
37507,208834258,1718,7,0x00,0x0D,5105727.857800276,-44871164.75550588,278904527.8264414,809325250,-437208,-1560282421,0.026928127275792326,-0.059241610266912645,0.36736272121417113,0.3730818427148109,-0.10214864951492081,0.3305060186616283,0.13971931288907802,slerp,15211,7486,0.6345604487978033,-0.5642228623082262,0.1143315326479857,0.515668400343288,C3D49DF190A5446175FB3801,0x01,0x00,0x00,0x0C,0x80,0x00,B676000DC3D49DF190A5446175FB3801C2523D302854F9FFCBFAFFA201807F13C01AD5FF7F428000
67475,208864226,1742,7,0x00,0x0D,5026305.507304117,-44957008.241168655,278671411.35298806,-268611456,-416730,1291844659,0.027160103529996288,-0.059328264187451046,0.3671334423582719,0.3728866833946885,-0.10189531331154894,0.33044399962998877,0.1395298781149324,slerp,15060,7312,0.6345452931366272,-0.5642182860275786,0.1143194111548874,0.5156947439168379,03DB9D018DA5646675FB3101,0x01,0x00,0x00,0x04,0x80,0x00,CE76000D03DB9D018DA5646675FB31018050FDEF26A4F9FF33FCFF4C0180AA13B00AD55775428000
82533,208879284,1753,7,0x00,0x0D,5148675.73324306,-44957567.095463775,278783095.9837508,-2143465214,-371673,-2053,0.02692779010100424,-0.05932792701266296,0.36747870934127314,0.37320974079258906,-0.10215860896859999,0.3306053306350056,0.1398186131807597,slerp,14770,7310,0.6345365763404761,-0.5642141067341024,0.1143132575763439,0.5157114059148107,E3D99DC18BA5946975EF3701,0xFF,0x0F,0x00,0x04,0x80,0x00,D976000DE3D99DC18BA5946975EF370102513D802754FAFFFBF7FFFFFF7F7F13C00AD55785428000
112561,208909312,1777,7,0x00,0x0D,5130707.466275006,-45005554.997843385,278556294.0325723,540889536,-1420249,1342176967,0.02681618524614739,-0.05912629648938684,0.3669028148032203,0.372602606322383,-0.10213398499697193,0.3300251282155503,0.1395878436439958,slerp,13447,6028,0.6345122590008494,-0.5642086500560469,0.11430668877090001,0.5157487501505018,A3E19D0189A5147075FB3101,0x01,0x00,0x00,0x0C,0x80,0x00,F176000DA3E19D0189A5147075FB3101C0513D202754EAFFC7FEFF4F01C06A132030D5AF6A428000
150168,208946919,1807,7,0x00,0x0D,4973195.557755334,-44820443.58798742,278640010.5303993,1878872894,341030,-67111584,0.025774989500534265,-0.059241947441700735,0.36698913154897056,0.3726325013944778,-0.10257023644366493,0.32955811048358774,0.14044849413889604,slerp,14951,-7356,0.6344827593929353,-0.5642024959402865,0.11428995272526683,0.5157954810910365,03E49D9183A5247A75EB2C01,0x00,0x00,0x00,0x08,0x80,0x00,0F77000D03E49D9183A5247A75EB2C013E53FD6F2634050060F5FFFB00C0A912B01AD5AB6E428000
180047,208976798,1831,7,0x00,0x0D,4946041.724954829,-44847576.212808676,278774088.139731,272454530,-1473496,-50333633,0.026005617055585878,-0.05903997974363653,0.3670174542311699,0.3726443653631431,-0.10266417679206533,0.3296596522773094,0.14017276304942666,slerp,14943,-7464,0.6344606300946378,-0.564201084901072,0.11427148081560086,0.5158283370740486,E3E59DB17CA5E47E75FB3401,0x01,0x00,0x00,0x0C,0x80,0x00,2777000DE3E59DB17CA5E47E75FB340182533D102884E9FF3FF8FFFC0180D4122040D5FF6F428000
217515,209014266,1861,7,0x00,0x0D,5308733.475126363,-44773943.48284118,278783922.660282,1614632577,-76761,-1442841597,0.027733300669744446,-0.05886835777650017,0.36727640446842086,0.37299675171855257,-0.10218099034217311,0.33074357659945897,0.13890395438389125,slerp,15036,7340,0.634429182066929,-0.5641995791828663,0.11425119266749241,0.5158731556941297,63E89D0175A5E48775F74501,0x00,0x00,0x00,0x0C,0x80,0x00,4577000D63E89D0175A5E48775F7450181563D6027D4FEFF03FCFFA900C01414F05FD5FF7B428000
247501,209044252,1885,7,0x00,0x0D,5002908.542281349,-44804604.27555321,278763363.56164384,-1606593664,631847,-100665328,0.0262386048341541,-0.0590696511249882,0.3675353547056718,0.3731754614471518,-0.10281207594080143,0.33019800053577886,0.14021013697023244,slerp,15184,7494,0.6344271809032164,-0.5641910475689998,0.11422873114163766,0.5158899213552864,23ED9D516CA5AC8A75F33301,0xFF,0x0F,0x00,0x0C,0x80,0x00,5D77000D23ED9D516CA5AC8A75F3330180533DA027A4090010F8FFF9FFBFFF12A03AD5FF87428000
262528,209059279,1896,7,0x00,0x0D,4923817.0643551,-44728206.824069075,279032343.5164598,-1875028412,-748504,-150995609,0.02635358143689182,-0.058896006109123315,0.36765134283277373,0.3732703586904518,-0.10295868725893616,0.3303207528240377,0.14006594749822704,slerp,14824,7337,0.6344223259750285,-0.564188880521258,0.11421651383250496,0.5159009666288228,E3EE9DD167A5248D75EF2C01,0x00,0x00,0x00,0x04,0x80,0x00,6877000DE3EE9DD167A5248D75EF2C0144563D902894F4FF67FDFFF600001513D05AD5578D428000
292518,209089269,1920,7,0x00,0x0D,4991078.853006103,-44781070.59862356,278865946.5856382,-1338157567,-748505,1325397735,0.026006965754738227,-0.05904031691842462,0.3669311374854196,0.3725594998734297,-0.10270829393464292,0.32955209637458627,0.140167767614707,slerp,15402,7322,0.6344070252967646,-0.5641860662685223,0.11419230947575434,0.5159282172348733,23F19D315EA5149175EF2A01,0x01,0x00,0x00,0x0C,0x80,0x00,8077000D23F19D315EA5149175EF2A0101563DB02794F4FFE7F6FF4E01C0D4121040D5FF6B428000
329992,209126743,1950,7,0x00,0x0D,4990281.502109705,-44797776.07876231,278861059.1954993,-1342352192,-793561,-1627392317,0.025776338199686614,-0.05901131988664912,0.36710511967607257,0.37271024184764845,-0.10294337711803178,0.32955989010789344,0.14037757768867679,slerp,14931,7413,0.6343732557038985,-0.5641873316820434,0.11417033851139155,0.5159732173488528,83F09DF156A5DC9975EF3301,0x00,0x00,0x00,0x00,0x80,0x00,9E77000D83F09DF156A5DC9975EF3301C054FDAF27E4F3FFC3F6FF9E0000AA127045D50374428000
360004,209156755,1974,7,0x00,0x0D,4984663.1542663025,-44750205.80003996,279079483.8350763,-537046016,312360,-1426064692,0.026698848419893062,-0.0591273080137511,0.36770933689632473,0.3733885690545926,-0.1027260149969084,0.330557194100248,0.13999403834471735,slerp,15013,7471,0.6343733927943421,-0.564177306467373,0.11414413931729395,0.5159898069161147,23F79D314CA58C9D75EB3601,0x00,0x00,0x00,0x00,0x80,0x00,B677000D23F79D314CA58C9D75EB36010054FDDF28C40400CCFAFFAA00005513F02FD50390428000
397515,209194266,2004,7,0x00,0x0D,5041453.707646671,-44831700.50758075,278796564.61331576,1883067779,1373223,1426061268,0.026696151021588364,-0.05892635184005116,0.3671617650404712,0.37281732943652063,-0.10266268852376342,0.3300555853337057,0.1397012673646046,slerp,15170,7487,0.6343619956722684,-0.5641671855461384,0.1141281625067956,0.5160184180070208,23FC9DE146A5ECA275FB3501,0x00,0x00,0x00,0x04,0x80,0x00,D477000D23FC9DE146A5ECA275FB350183553D7027F41400D4F7FF54008054133055D5A776428000
412524,209209275,2015,7,0x00,0x0D,5129436.7625539955,-44810033.20518359,278681539.1447084,-2143465025,-351193,1375730359,0.027274742957945918,-0.0591273080137511,0.36719008772267053,0.3729189063029086,-0.10227129316247639,0.3304131657325863,0.13941389164499646,slerp,14816,7326,0.6343539392303064,-0.5641631718138055,0.11412208549297424,0.5160340540649558,43039E1145A574A575F33A01,0x01,0x00,0x00,0x0C,0x80,0x00,DF77000D43039E1145A574A575F33A01BF513D8027A4FAFFB7FAFF5101C0BF13F02FD5FF77428000
427493,209224244,2028,7,0x00,0x0D,5129668.724873297,-44744408.873033635,278841592.13321924,-1606593282,-60377,-1509950789,0.027042766703741956,-0.05889668045869949,0.36736272121417113,0.37303551994136963,-0.10263692704131638,0.33039125444153433,0.1395090654186774,slerp,15193,7479,0.6343518262889896,-0.5641574405843321,0.11411332927932172,0.5160448534749169,43079E7140A55CA775EF3901,0x00,0x00,0x00,0x0C,0x80,0x00,EC77000D43079E7140A55CA775EF3901FE543DA02714FFFFBBFAFFA500C09413B05AD5FF7F428000
442535,209239286,2039,7,0x00,0x0D,5011473.452966812,-44691275.19839088,278950233.7995307,1614632323,-363480,-134218737,0.026239953533306448,-0.0587810295063856,0.3673923925955228,0.3729891616767482,-0.10309966430312126,0.3299689160630691,0.14004245206747262,slerp,14915,7328,0.6343555631456472,-0.5641497295000383,0.1141023457153523,0.5160511185080957,03099E513DA584A975EF3701,0xFF,0x0F,0x00,0x04,0x80,0x00,F777000D03099E513DA584A975EF370183553D602874FAFF0FFCFFF7FFFFFF122070D55781428000
472685,209269436,2063,7,0x00,0x0D,4885757.7221146785,-44766485.756625056,279072050.7031573,-801286847,304168,-1677723616,0.026580162894486385,-0.05898333437923789,0.3676216714514221,0.3732709901863896,-0.10290867371251156,0.33036500758687065,0.1399999955413802,slerp,14981,-7477,0.6343428336099983,-0.5641439100200596,0.11408763579926795,0.5160763796112455,C30F9EA137A584AC75FB2C01,0x00,0x00,0x00,0x0C,0x80,0x00,0F78000DC30F9EA137A584AC75FB2C0141553DD028A4040020F8FF9B00003F13A04AD5FF8B428000
