elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,294668269,265,7,0x00,0x0D,4914340.0,-44695708.0,278632768.0,-2143464128,25638,-1761608716,0.02577903559799131,-0.05886802060171208,0.3671037709769202,0.3726864381640432,-0.1543489075332308,0.29928728499196705,0.15968317687482436,nearest,,-7499,0.5816323052910471,-0.5422719739469873,0.0756795555357375,0.6015958548621934,4367DD91986D5497B3F73201,0x01,0x00,0x00,0x0C,0x80,0x00,0971000D4367DD91986D5497B3F7320140553D8026640000F4FBFF960180AA120060D5FF73428000
29983,294698252,289,7,0x00,0x0D,4942796.38538206,-44873300.50118652,278807859.78927386,540889922,-15320,-1577059685,0.0264668721656891,-0.05909797380718752,0.36719008772267053,0.37285603971523973,-0.15405603843469942,0.299837204018212,0.1593298919238947,slerp,14749,7259,0.5815961065819373,-0.5422718347391571,0.07567588810745715,0.6016314370247849,C367DD21976D1CA1B3FB2C01,0x00,0x00,0x00,0x0C,0x80,0x00,2171000DC367DD21976D1CA1B3FB2C0142533D2028C4FFFF9BFAFFA100002A136035D5FF77428000
44936,294713205,300,7,0x00,0x0D,5064315.0444634175,-44824160.841718115,278713958.0549061,-1875029055,353319,-402655196,0.025892326326788593,-0.059098648156763696,0.36719008772267053,0.3728158034450154,-0.15421871831799386,0.29947633976356736,0.15975647761679024,slerp,15226,7463,0.5815761061800505,-0.542268841342167,0.07567345193140808,0.6016537751087907,C36BDD81966DCCA3B3F33101,0x02,0x00,0x00,0x0C,0x80,0x00,2C71000DC36BDD81966DCCA3B3F33101C1533D902764050024F8FFE70280BF124035D5FF77428000
74948,294743217,324,7,0x00,0x0D,5104547.538857905,-44822118.02230844,278781564.4190107,1346196351,-3033,-1879049905,0.026697499720740713,-0.05904031691842462,0.3672197591040222,0.37289256762448764,-0.15408134708705207,0.2999641120294998,0.15915193044313403,slerp,16496,7469,0.5815616382405475,-0.5422551214495971,0.07566025580275512,0.6016817845676524,6376DD91906D24AAB3E73601,0x00,0x00,0x00,0x00,0x89,0x00,4471000D6376DD91906D24AAB3E736017F533D5027F4FFFF4FF9FF8F00C054131040D55379428900
112713,294780982,354,7,0x00,0x0D,5048954.538328683,-44835065.837651126,279136989.23236346,540889985,-52183,-369100409,0.02623624461063749,-0.059098310981975606,0.36767966551497305,0.37332196201856915,-0.15442927667693415,0.300013050014865,0.15972806782532306,slerp,15054,-7270,0.5815527882110949,-0.5422324877562126,0.07564347825519553,0.6017128450873107,2386DD918B6DE4AEB3FB2F01,0x01,0x00,0x00,0x08,0x80,0x00,6271000D2386DD918B6DE4AEB3FB2F0181533D202934FFFF87F9FFE90140FF125035D5AB8E428000
142660,294810929,378,7,0x00,0x0D,4941171.824360341,-44798932.09488273,279106348.53731346,2147308350,-1436632,-184551353,0.026467883690053363,-0.05912663366417493,0.3677079881971724,0.3733706901451955,-0.15437686242137985,0.3001716598028723,0.15959458405478139,slerp,15008,-7338,0.5815392426040205,-0.542219877029835,0.07562637984301447,0.6017394493774968,C391DD91866DF4B3B3F33201,0xFE,0x0F,0x00,0x0C,0x80,0x00,7A71000DC391DD91866DF4B3B3F332013E53FD7F2814EAFF47F8FFF4FE3F2A131030D5FF8F428000
179956,294848225,408,7,0x00,0x0D,5107521.924364078,-44862305.48060185,278816970.43060523,-2143464255,-3033,-1459618853,0.027504021813845182,-0.059040654093212706,0.3672197591040222,0.37295123210428865,-0.15392342355052965,0.30041635457983873,0.15858819348095188,slerp,14821,7300,0.5815004806383143,-0.5422159060499551,0.07560855628448564,0.6017827252924527,0393DDD17E6D7CBBB3F73901,0x00,0x00,0x00,0x04,0x80,0x00,9871000D0393DDD17E6D7CBBB3F73901C1543D8027F4FFFFDBFBFFA80040EA130040D55779428000
209973,294878242,432,7,0x00,0x0D,5219950.725281391,-44965440.421109386,278869973.6216216,1878872831,-682968,-335546321,0.027502673114692833,-0.059241947441700735,0.3673923925955228,0.37315301888394475,-0.15388261943201686,0.30059104227860056,0.15877134578004704,slerp,14837,7311,0.5814736900316397,-0.5422093053180015,0.075598031325292,0.601815881052751,C39ADDF1796D8CC1B3FB3B01,0x01,0x00,0x00,0x04,0x80,0x00,B071000DC39ADDF1796D8CC1B3FB3B01FF52FD6F2894F5FF2FF8FFEB0100EA13B01AD55781428000
224947,294893216,443,7,0x00,0x0D,5177392.820052771,-44879830.18469657,278805004.66490763,809324928,1025064,-1677723264,0.02635358143689182,-0.059242284616488824,0.3671617650404712,0.37284302494316046,-0.15406633005981668,0.2997091877733066,0.15953021643228188,slerp,15160,7448,0.5814537024421474,-0.5422068381528365,0.07559673300540813,0.6018375782015706,C398DDF1796DCCC5B3F73001,0x02,0x00,0x00,0x04,0x80,0x00,BB71000DC398DDF1796DCCC5B3F7300180513D3028A40F0080F9FF9B02001513A01AD5A776428000
254929,294923198,467,7,0x00,0x0D,5043071.583404732,-44704580.83042246,278723432.4170566,-1606592895,58407,-1660946072,0.026008314453890576,-0.058954337347462395,0.3673060758497725,0.37291527143436975,-0.15448497078769016,0.2994966271223204,0.15969334304237598,slerp,15173,7452,0.5814167821546911,-0.5421966774151772,0.07559118930770035,0.6018830953996583,03A2DD11786DA4CDB3FB3401,0x01,0x00,0x00,0x00,0x80,0x00,D371000D03A2DD11786DA4CDB3FB340181563DA027E4000068F9FF9C0100D5120050D5537D428000
