elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
22433,532400731,682,7,0x00,0x0D,4978269.453640615,-44881819.800668,278751157.100334,1346195970,-1375193,-1459618441,0.026009663153042924,-0.059183616203361655,0.36736272121417113,0.3730074690165364,-0.16415747271383493,0.18161274832892949,0.2814315293970132,slerp,14970,7423,0.5642301596394055,-0.3668099162850735,-0.025890749788484713,0.7392053039201076,AF2F62CECCECC140EDF92F01,0x01,0x00,0x00,0x0C,0xB6,0x00,AA72000DAF2F62CECCECC140EDF92F0102523D502704EBFF77FDFFA80140D5128025D5FF7F42B600
52448,532430746,706,7,0x00,0x0D,4951877.493584603,-44773924.215717725,278782906.7072975,1346196611,-1129433,1577056307,0.026005617055585878,-0.05892466596611073,0.36719008772267053,0.372796149255115,-0.16426977178526375,0.1814286274184862,0.2812046659109757,slerp,14964,7425,0.5642020775702627,-0.3667802295125496,-0.02590058526894623,0.7392411234413617,2F1B625ED8ECF13EEDE92A01,0x00,0x00,0x00,0x0C,0xB6,0x00,C272000D2F1B625ED8ECF13EEDE92A0183543D5027C4EEFF33F8FF5D0080D4128055D5FF7742B600
67669,532445967,717,7,0x00,0x0D,4974027.366940055,-44839547.67540175,278639290.77015406,805131455,-35801,-1493173537,0.026008314453890576,-0.05895467452225048,0.36719008772267053,0.3728010817990466,-0.16424777949906555,0.18143151201458907,0.28122218967973667,slerp,14997,-7315,0.564193626984925,-0.3667700436377158,-0.025909425852220874,0.7392523168794208,6F14623EDBECF93DEDFD3101,0x00,0x00,0x00,0x0C,0xB6,0x00,CD72000D6F14623EDBECF93DEDFD3101BF54FD2F2774FFFFDFFAFFA60000D512F04FD5FF7742B600
97675,532475973,741,7,0x00,0x0D,5039247.566731012,-44844142.5885642,278751204.8735938,-537045954,304166,-1157630288,0.026351895562951384,-0.059012331411013384,0.3670754482947209,0.37272142734097574,-0.16416609234354018,0.18167781287758164,0.2810052113960967,slerp,15023,-7321,0.5641805042149327,-0.36673776721622414,-0.02592682718675787,0.7392777342738457,EF0D62CEE6EC513AEDE13301,0xFF,0x0F,0x00,0x08,0xB6,0x00,E572000DEF0D62CEE6EC513AEDE133013E54FDDF26A40400B0F6FFBAFFBF14134045D5AB7242B600
134981,532513279,771,7,0x00,0x0D,5046233.601310248,-44908744.8524634,278868448.80647105,1073566719,648231,1493170604,0.026813150673054606,-0.05915596787073851,0.36701880293032224,0.3727213104829753,-0.1640560733100187,0.18207373112182143,0.28081299210261434,slerp,14959,7296,0.5641511559740819,-0.36669486326395867,-0.025937916314150152,0.7393210229434937,8FF6617EF7EC4138EDF13501,0xFE,0x0F,0x00,0x00,0xC0,0x00,0373000D8FF6617EF7EC4138EDF13501FF53FD3F27E40900ACF9FF58FE3F6A13A02AD5037042C000
164990,532543288,795,7,0x00,0x0D,4956537.6276991805,-44974195.76470588,278755671.41135854,-1069723200,-1104858,-1291847621,0.026120256483535508,-0.05927027012390006,0.36701880293032224,0.37269026607054345,-0.16389630359709173,0.18150559208421757,0.281232565918494,slerp,14773,7305,0.5641305361671799,-0.3666689428044231,-0.025946016594257857,0.739349327969741,2FE761CE00ED2137EDF93001,0x00,0x00,0x00,0x00,0xC0,0x00,1B73000D2FE761CE00ED2137EDF93001C0513DC02624EFFF3BF8FFB200C0E9127015D5037042C000
202509,532580807,825,7,0x00,0x0D,5068831.110421836,-44825934.60545906,278784362.1637717,-1875029182,365607,1644165804,0.026928127275792326,-0.059098648156763696,0.36719008772267053,0.37288917224065476,-0.16421849689616444,0.18216783926876784,0.2808798646888622,slerp,13702,6239,0.5640992272449081,-0.366640770345991,-0.02596938948742363,0.7393863659491203,AFCE617E0BEDF931EDF93501,0x00,0x00,0x00,0x0C,0xAD,0x00,3973000DAFCE617E0BEDF931EDF9350142533D9027940500ACFAFF6100807F134035D5FF7742AD00
232649,532610947,849,7,0x00,0x0D,5110315.162765957,-44925835.622340426,278667457.22553194,1077760320,-1100761,1543501867,0.027388033686743203,-0.05927027012390006,0.3670174542311699,0.37277993645060237,-0.16402488710931182,0.18253281533697838,0.2806109205894332,slerp,15040,-7372,0.5640637583418829,-0.36660787232181447,-0.025979628371095798,0.7394293768755754,4FB5611E18EDB130EDED3C01,0x01,0x00,0x00,0x0C,0xA4,0x00,5173000D4FB5611E18EDB130EDED3C0140513D402734EFFF2BF8FF5B01C0D4137015D5FF6F42A400
247658,532625956,860,7,0x00,0x0D,5010951.876598295,-44945709.27091103,278711650.8428343,-1069722943,-416729,134215395,0.026696151021588364,-0.059242284616488824,0.36750703202347246,0.3732073838399371,-0.16426399430138588,0.18210347972314606,0.2813172838656136,slerp,15016,-7379,0.5640438150167838,-0.36659288445951754,-0.025985392943399688,0.7394518180101665,EFA761DE1CED812FEDF52D01,0x01,0x00,0x00,0x04,0xA4,0x00,5C73000DEFA761DE1CED812FEDF52D01C1523DC027A4F9FFE3F6FF0701805413A01AD5A78642A400
277710,532656008,884,7,0x00,0x0D,4954310.732383109,-44998104.32449713,278587975.71120286,268259775,-768985,1526724631,0.025316431788735737,-0.05915529352116233,0.36698913154897056,0.37258729600612556,-0.1639050950441469,0.18068044911220166,0.28162206638035037,slerp,15014,-7274,0.5640158704437075,-0.3665614966996486,-0.025990124759027372,0.7394885262395561,0F94611E28EDD92EEDF92D01,0x01,0x00,0x00,0x0C,0xC0,0x00,7473000D0F94611E28EDD92EEDF92D01BF51FD0F2744F4FF17F8FF5A01C05412C02AD5AF6E42C000
