elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
7706,549477792,1958,7,0x00,0x0D,5064783.028206671,-44825537.87714725,278680214.8134483,1883066946,-711641,-1526729661,0.02635088403858712,-0.05909763663239943,0.3671037709769202,0.3727627642490935,-0.16500502207387804,0.16978441079219914,0.2879212999292863,slerp,14961,-7255,0.5493940213945934,-0.3522122153873825,-0.03257848857539954,0.7570015896085898,0F3A379EEF019269E8ED2F01,0x00,0x00,0x00,0x0C,0xC0,0x00,A677000D0F3A379EEF019269E8ED2F0142523D702724F5FF43F4FFA4008014137035D5FF7342C000
45186,549515272,1988,7,0x00,0x0D,4933250.378997828,-44908263.092202835,278730380.4395176,-2143464704,644135,1442838540,0.02623624461063749,-0.059098310981975606,0.36687449212102097,0.3725289839210482,-0.1648578308501868,0.16958498979636422,0.28782055295684994,slerp,13351,6081,0.5493657265607949,-0.3521825969562682,-0.032592609672534724,0.7570352955286845,8F23378EFB017266E8ED3201,0x00,0x00,0x00,0x04,0xAD,0x00,C477000D8F23378EFB017266E8ED320100533D8027D409000CF8FF550040FF125035D5576942AD00
75008,549545094,2012,7,0x00,0x0D,5076819.465248998,-44870087.41246009,278730187.1137985,536695358,-31704,1694497867,0.026930487499308937,-0.05912697083896302,0.36724808178622154,0.3729509396867117,-0.16514746043671294,0.17029211544486625,0.28778345182066667,slerp,14719,7341,0.5493507136098335,-0.3521511392361784,-0.032608288014213276,0.757060148299863,CF1A376E07020A64E8ED3501,0xFF,0x0F,0x00,0x0C,0xB6,0x00,DC77000DCF1A376E07020A64E8ED35013E52FD1F2884FFFF4BFCFF64FFFF7F130030D5AF7A42B600
112405,549582491,2042,7,0x00,0x0D,5022227.404769835,-44803670.11684764,278773998.00999266,268260480,-371673,1593833459,0.026581511593638734,-0.059098310981975606,0.3671334423582719,0.3728084650559314,-0.1650531068606347,0.16992119310995696,0.28787221412477493,slerp,15011,7425,0.5493233871877524,-0.35212165021479835,-0.03261976018050406,0.7570931983476991,0F03373E12022262E8F53601,0x00,0x00,0x00,0x04,0xAD,0x00,FA77000D0F03373E12022262E8F536018054FD0F2754FAFFF3F7FF5E00403F135035D5577542AD00
127662,549597748,2053,7,0x00,0x0D,4976302.4691333985,-44755332.8872444,278746668.8872444,536695617,-1412057,218101803,0.025890977627636244,-0.05898232285487363,0.3671914364218229,0.3727986160293422,-0.1650791655997029,0.16929182906073686,0.2882151172502391,slerp,15405,7671,0.5493101430200484,-0.35210801353514765,-0.032629436027011315,0.7571087329335103,2FFC36FE1602DA5FE8F12501,0x00,0x00,0x00,0x00,0xAD,0x00,0578000D2FFC36FE1602DA5FE8F125014153FD1F2774EAFF2BF8FF0C0040BF12D04AD5037842AD00
142612,549612698,2066,7,0x00,0x0D,5099160.475391806,-44722148.18366786,278673316.99752545,1346197122,304167,-33557520,0.027731951970592097,-0.058810700887737266,0.3668448207396693,0.37256258830232303,-0.1652951183754859,0.17066753704808957,0.28697212032129416,slerp,14548,7216,0.5492939732054518,-0.35209223099332326,-0.03263715197344612,0.7571274715563918,6FF136CE1B02325EE8F13801,0x01,0x00,0x00,0x0C,0xAD,0x00,1278000D6FF136CE1B02325EE8F1380182563D5027A40400F0F3FFFD01801414A06AD5FF6742AD00
157647,549627733,2077,7,0x00,0x0D,5182592.781445912,-44805400.81552621,278539786.7264239,-174977,-1067994,1493170199,0.02646923238920571,-0.058896006109123315,0.36678817537527064,0.3724284164695277,-0.1650067318842279,0.16959127426791681,0.2876012926241305,slerp,14994,-7291,0.5492815270214892,-0.35207852680537693,-0.032644337861073076,0.7571425640136135,8FE2360E2202725DE8F93301,0xFF,0x0F,0x00,0x04,0xAD,0x00,1D78000D8FE2360E2202725DE8F933017F54FDFF26B4EFFF17F8FF58FF7F2A13D05AD5576542AD00
187647,549657733,2101,7,0x00,0x0D,5164797.043880061,-44875880.49039292,278724669.3384748,4018627,-351193,-1426065057,0.026926778576639977,-0.05912663366417493,0.3671334423582719,0.3728377324129192,-0.16508910083047915,0.1701643514895722,0.28774582009114347,slerp,15041,-7312,0.549253922933316,-0.3520524879260434,-0.03266345031618823,0.7571738723046959,4FD336AE2A021259E8ED3801,0x01,0x00,0x00,0x04,0xC0,0x00,3578000D4FD336AE2A021259E8ED3801C3513D0027A4FAFF5FF9FFAA01407F131030D5577542C000
224984,549695070,2131,7,0x00,0x0D,4917642.719701395,-45000152.49178838,278668024.98305744,540890049,-1399769,-33555473,0.026238942008942185,-0.05901098271186103,0.36710511967607257,0.3727424674634643,-0.16506704110286183,0.16949490221092878,0.2880300281512426,slerp,15405,7333,0.5492137963752541,-0.35202135892373754,-0.03267661059538779,0.7572168829685215,AFB436DE37021A57E8ED2E01,0x01,0x00,0x00,0x00,0x9B,0x00,5378000DAFB436DE37021A57E8ED2E01C1533D2027A4EAFFEFFBFFFD01C0FF128045D50374429B00
255194,549725280,2155,7,0x00,0x0D,5038840.086751313,-44836477.49198963,278642462.40457356,-1875029182,-1047514,-1459620517,0.02646552346653675,-0.05892500314089881,0.3667598526930713,0.37240484620229647,-0.1649770832920363,0.16951082990352395,0.28763520300691153,slerp,15043,-7474,0.549179055595726,-0.3519904988760402,-0.032693589357430934,0.7572556918313065,4F97367E42020A54E8F13501,0x00,0x00,0x00,0x00,0xAD,0x00,6B78000D4F97367E42020A54E8F1350142533D902604F0FF5BF5FFA800C029137055D5036442AD00
292625,549762711,2185,7,0x00,0x0D,5037215.873516469,-44847279.86664889,278790473.98533136,-801287422,1385511,1392507256,0.026006965754738227,-0.05912764518853919,0.3672197591040222,0.37285760307351384,-0.16501093673133774,0.16932831170980728,0.28830904561299986,slerp,14998,7453,0.5491559226748013,-0.35196520322937075,-0.03271478977161447,0.7572833094932798,0F87361E4D02824FE8E52E01,0x00,0x00,0x00,0x00,0xB6,0x00,8978000D0F87361E4D02824FE8E52E0102533DD02724150078F9FF5200C0D412E02FD5537942B600
