elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
7659,1036612357,3868,7,0x00,0x0D,4989332.775330396,-44776357.351221465,278891476.6199439,-1073916672,-666585,218103771,0.02577903559799131,-0.05904031691842462,0.3671617650404712,0.3727708135112307,-0.054764966443844224,-0.05187068135791685,0.3650593243182468,slerp,14982,-7323,0.2339949899477298,-0.04014804612053219,-0.17059381311685315,0.9563117849312105,CFB9A51ADCC56B7A84F53301,0x01,0x00,0x00,0x0C,0xC0,0x00,1C7F000DCFB9A51ADCC56B7A84F533010055FDBF27D4F5FFDBFFFF0C0180AA121040D5AF7642C000
37708,1036642406,3892,7,0x00,0x0D,5019088.60110642,-44872493.83258116,278856478.31824136,1073566782,-392152,-1140853073,0.025892326326788593,-0.05912663366417493,0.3674503866590738,0.37307661147138843,-0.05486091637383986,-0.05184248855035097,0.36536118330017303,slerp,13738,6476,0.23397830479430307,-0.040129628419309844,-0.17059780585611004,0.9563159281563773,AFAFA5FAE2C5A37984E92F01,0x01,0x00,0x00,0x00,0xC0,0x00,347F000DAFAFA5FAE2C5A37984E92F013E54FD3F2804FAFFAFF6FFBB0180BF121030D5038442C000
74985,1036679683,3922,7,0x00,0x0D,4924926.445756959,-44873799.9712152,278706916.9401222,-805481599,-699353,335543643,0.025664396170041678,-0.05912663366417493,0.3673060758497725,0.3729187222376871,-0.054624700294417336,-0.051909435602392515,0.36522585616105463,slerp,14730,7318,0.23395287970095183,-0.040112752776245444,-0.17060027274242448,0.9563224163871483,2F9BA58AE8C51B7984FD2701,0x01,0x00,0x00,0x08,0xC0,0x00,527F000D2F9BA58AE8C51B7984FD27018153FDCF2754F5FF5BFDFF13014095121030D55B7D42C000
104986,1036709684,3946,7,0x00,0x0D,5041373.704503281,-44743781.69504413,278692441.0771668,1346196803,-1383385,-1241516369,0.026696151021588364,-0.05903997974363653,0.36727640446842086,0.3729482014526247,-0.05556492548902911,-0.05150666244637572,0.36517114309016974,slerp,22095,7313,0.2339360542457512,-0.04009878895687161,-0.17060935581477596,0.956325497598275,CF8BA5BAEEC5137784E93301,0x00,0x00,0x00,0x0C,0xC0,0x00,6A7F000DCF8BA5BAEEC5137784E9330143553D5027E4EAFFAFF6FFB5008054132040D5FF7B42C000
121107,1036725805,3957,7,0x00,0x0D,4994180.200971842,-44879860.47096935,278582843.09195113,-532852093,-68571,-1174408517,0.0258869315301792,-0.059098310981975606,0.36704712561252156,0.3726745711815936,-0.0547804000605184,-0.05176782662897321,0.36497333587634434,slerp,8026,1339,0.23392596523839557,-0.04008958833695138,-0.17061610577806327,0.9563271470283522,8F85A57AF2C58B7584ED2A01,0x00,0x00,0x00,0x04,0xC0,0x00,757F000D8F85A57AF2C58B7584ED2A0183523DE025F4FEFFBBF2FFB90080BE125035D5577142C000
134962,1036739660,3970,7,0x00,0x0D,4948457.268159476,-44829508.3058438,278740026.09284544,1073567041,-1735641,1409284119,0.02635088403858712,-0.05921261323513715,0.36727775316757316,0.3729523436413422,-0.055171057259930975,-0.05153968329622368,0.36523042878998474,slerp,14648,7168,0.23391088432631116,-0.04007650747411241,-0.17062550795971246,0.9563297066262506,0F7AA52AF6C5937484FD2C01,0x00,0x00,0x00,0x04,0xC0,0x00,827F000D0F7AA52AF6C5937484FD2C014155FD3F2784E5FF17F8FF53008014132020D5077C42C000
149939,1036754637,3981,7,0x00,0x0D,5030957.997966946,-44881852.92051417,278741811.3032529,-1069722816,-1031129,268434475,0.02658420899194343,-0.05915495634637425,0.3670754482947209,0.3727605313989654,-0.05536833171012379,-0.051422968747623324,0.36502114993197005,slerp,15248,7497,0.23390148216458703,-0.04007078147199138,-0.17063043233974962,0.9563313676090435,0F74A5EAF7C55B7384F93101,0x01,0x00,0x00,0x08,0xC0,0x00,8D7F000D0F74A5EAF7C55B7384F9310140533DC02744F0FF2BFCFF0F01C03F13D02AD5AB7242C000
187692,1036792390,4011,7,0x00,0x0D,4989216.583476764,-44901228.64795446,278525256.25949955,1077760448,-1047514,452983783,0.026238942008942185,-0.05909763663239943,0.3669028148032203,0.3725569597307369,-0.05504692406729496,-0.05158834326088581,0.36483854954505074,slerp,15106,-7365,0.23387997193771784,-0.04005018787342916,-0.1706396713374819,0.9563358425488149,AF64A51A00C6EB7184F93001,0x02,0x00,0x00,0x08,0xC0,0x00,AB7F000DAF64A51A00C6EB7184F93001C0513D402604F0FFE7FBFF1A02C0FF127035D5AB6A42C000
217666,1036822364,4035,7,0x00,0x0D,4882786.612574342,-44955534.29684334,278735692.03581464,1342002047,-752601,335542243,0.026120256483535508,-0.05915529352116233,0.36710511967607257,0.37275700589355004,-0.05494121842506345,-0.05166384854627523,0.3650480717851844,slerp,15301,7373,0.23386018122201305,-0.04003888612436908,-0.1706444292928813,0.9563403065792186,4F55A50A04C6CB7084F52901,0x01,0x00,0x00,0x00,0xC0,0x00,C37F000D4F55A50A04C6CB7084F529017F53FD4F2784F4FFE3F7FF1301C0E912C02AD5037442C000
254983,1036859681,4065,7,0x00,0x0D,4907535.665496049,-44916996.409536034,278773616.0140474,1610437504,-670681,-1241516001,0.025546722168999263,-0.05912697083896302,0.3671914364218229,0.37279777986958723,-0.054446374306559894,-0.05198763487913181,0.3651178752406369,slerp,14807,7317,0.2338405667799261,-0.040020649266423354,-0.17065123698400556,0.9563446514077264,4F46A58A0AC6B36F84F92801,0xFF,0x0F,0x00,0x00,0xC0,0x00,E17F000D4F46A58A0AC6B36F84F928018053FD5F27C4F5FF1FF8FFB5FF7F7F120030D5037842C000
285011,1036889709,4089,7,0x00,0x0D,4987540.348734948,-44848814.58530645,278754919.1265052,-805481857,-35801,218102055,0.026120256483535508,-0.059098310981975606,0.3671334423582719,0.3727758611518757,-0.054947916982636166,-0.051734050773146745,0.3650563751907277,slerp,14782,7349,0.23383515221707415,-0.04000499177156677,-0.17065342633261027,0.956346239759385,4F43A55A10C6336F84F92F01,0x00,0x00,0x00,0x04,0xC0,0x00,F97F000D4F43A55A10C6336F84F92F017F52FDCF2774FFFF27F9FF0C00C0E9125035D5577542C000
299941,1036904639,4,7,0x00,0x0D,5014725.081251644,-44929132.53089666,278684002.02787274,-805481409,361510,-16779276,0.026697499720740713,-0.05921328758471333,0.3667598526930713,0.3724671253484961,-0.055345894520466635,-0.05126063761409214,0.36474777375125733,slerp,15212,7497,0.23382817491928928,-0.03999601345614186,-0.1706551930654387,0.9563480060110588,0F3DA59A13C6BB6E84F13501,0x00,0x00,0x00,0x00,0xC0,0x00,0470000D0F3DA59A13C6BB6E84F135013F54FDCF26840500F4F7FFFE00C054130020D5036442C000
329956,1036934654,28,7,0x00,0x0D,4965046.38005923,-44954689.49443896,278634099.296874,-1879223807,1352742,-1073742804,0.026582860292791083,-0.05915596787073851,0.36696080886677124,0.3726477052662808,-0.05529028032970939,-0.051428299832985094,0.3649170140149342,slerp,15195,7492,0.23380206152336738,-0.039981020010025986,-0.17065675923669363,0.9563547378421936,AF2AA55A19C65B6E84FD3701,0x00,0x00,0x00,0x04,0xC0,0x00,1C70000DAF2AA55A19C65B6E84FD37010152FD8F26A414002CFCFFBF00803F13A02AD5576D42C000
367718,1036972416,58,7,0x00,0x0D,5078673.380758718,-45114067.25835056,278550908.78058535,540889086,693287,-1392511284,0.027044115402894305,-0.05941525528277753,0.36678817537527064,0.3725521739748179,-0.05554704967148295,-0.05095720512426802,0.3648465579556425,slerp,14999,-7254,0.23377669886084707,-0.039960343843891015,-0.17066405632959483,0.9563604999511072,4F19A55A21C6436D84ED3801,0x01,0x00,0x00,0x00,0xC0,0x00,3A70000D4F19A55A21C6436D84ED3801FE4F3D2027940A00CCF6FFAC0100951390FAD4536542C000
397662,1037002360,82,7,0x00,0x0D,4981647.512543368,-44834970.67787563,278739860.93621564,4018434,-1014744,385873935,0.026581511593638734,-0.05903997974363653,0.3673343985319718,0.37299712641195676,-0.05537446693264782,-0.05165900864991702,0.365228519626836,slerp,14988,-7322,0.23375809417086318,-0.03994459151803989,-0.17066994528353338,0.9563646547185747,8F0AA5DA26C6F36B84F12801,0x00,0x00,0x00,0x0C,0xC0,0x00,5270000D8F0AA5DA26C6F36B84F1280102513D002884F0FF0FF8FF1600403F132040D5AF7E42C000
436250,1037040948,112,7,0x00,0x0D,4897241.444026463,-44866517.538461536,278557214.2648852,-268610943,-404442,-1392510997,0.026581511593638734,-0.05915529352116233,0.36684616943882165,0.37253461254239756,-0.05523952391720984,-0.05141853941144683,0.36481058968224567,slerp,7709,1492,0.23374543219109503,-0.0399313287941652,-0.1706736494352212,0.9563676423316474,CFFFA41A2CC60B6B84F92D01,0x01,0x00,0x00,0x04,0xC0,0x00,7070000DCFFFA41A2CC60B6B84F92D018152FDEF26D4F9FFEBF7FFAC01403F13C02AD5076842C000
465013,1037069711,136,7,0x00,0x0D,4960531.532751977,-44848867.50111539,278792753.48286355,1346196865,-355289,268432699,0.026120256483535508,-0.058954000172674305,0.3673343985319718,0.37295093816743624,-0.05497885901308923,-0.05195669707185944,0.36519888960807745,slerp,14793,7380,0.23371814836182203,-0.039909493306652666,-0.1706769035602295,0.95637464105936,CFEAA4FA33C6BB6A84ED2F01,0x00,0x00,0x00,0x08,0xC0,0x00,8870000DCFEAA4FA33C6BB6A84ED2F0181553D502794FAFF3BF5FF0F00C0E9121050D5AB7E42C000
480123,1037084821,147,7,0x00,0x0D,4873395.049573211,-44831940.59776756,278842398.83177936,-264416510,-1088473,33551711,0.026694802322436016,-0.05909763663239943,0.3674503866590738,0.3731285700431849,-0.05543969722101198,-0.05161515494972746,0.36535906384545885,slerp,15230,-7533,0.23370837719415932,-0.03990075678539958,-0.1706836587234565,0.956376187847648,CFE6A44A37C6A36984F53601,0x02,0x00,0x00,0x00,0xC0,0x00,9370000DCFE6A44A37C6A36984F5360102533DF02764EFFF5FF5FF01024054137035D5038442C000
509941,1037114639,171,7,0x00,0x0D,4902023.56223832,-44811477.86216521,278670102.2066857,1077760450,-740313,1610611063,0.02543107121668537,-0.05901165706143721,0.36698913154897056,0.37257232549859687,-0.05427401907470728,-0.05213908632372217,0.3648917432037044,slerp,15047,7330,0.23369002974946723,-0.03988469982086864,-0.17069520091427168,0.9563792809867478,8FD9A43A3DC66B6784F92A01,0x00,0x00,0x00,0x08,0xC0,0x00,AB70000D8FD9A43A3DC66B6784F92A01C2513D4027B4F4FF77F9FF5F00006A126045D5AB6E42C000
547759,1037152457,201,7,0x00,0x0D,5028174.167010446,-44890511.62366092,278717107.0160357,-264416832,381990,234879284,0.02646822086484145,-0.05915596787073851,0.36696080886677124,0.37263954499573565,-0.055116508118135385,-0.051542526141478875,0.36491885265966645,slerp,15029,-7199,0.23366876756321436,-0.0398669120829026,-0.17070299789962945,0.9563838261360037,0FC8A40A43C62B6684F53301,0x01,0x00,0x00,0x00,0xC0,0x00,C970000D0FC8A40A43C62B6684F53301C0513DF026D4050034F9FF0D01402A13A02AD5536D42C000
577641,1037182339,225,7,0x00,0x0D,5032773.8987282775,-44767405.49597177,278868524.95425797,1883067393,25639,-1241515664,0.026238942008942185,-0.05901165706143721,0.3671334423582719,0.3727704685791511,-0.054992202411760185,-0.05183222181002442,0.365030273677212,slerp,15019,-7321,0.2336558960800148,-0.039850009895906265,-0.17071272488555034,0.956385939095976,8FBEA46A4AC6E36384F13701,0x01,0x00,0x00,0x04,0xC0,0x00,E170000D8FBEA46A4AC6E36384F1370101543D702764000070F9FFB501C0FF126045D5577542C000
615042,1037219740,255,7,0x00,0x0D,5065603.635036009,-44880055.247265935,278676664.3563617,1610437951,381990,301988512,0.026812139148690347,-0.059040654093212706,0.36698913154897056,0.3726737344065862,-0.05545649372863327,-0.05150709439217409,0.36490726061172385,slerp,14996,7403,0.23363666401341635,-0.03983528276961002,-0.17071783507972782,0.9563903388580618,4FB0A4AA4FC6036384F53401,0x00,0x00,0x00,0x08,0xC0,0x00,FF70000D4FB0A4AA4FC6036384F534013F55FD5F26D40500A0FAFF1100006A130040D5AB6E42C000
645555,1037250253,279,7,0x00,0x0D,4836202.527306717,-44911344.844972625,278552031.35905993,1883067391,312358,1644165472,0.025661361596948894,-0.0591273080137511,0.36687449212102097,0.3724935395426603,-0.05436702973216946,-0.051929047324110834,0.36482740730807367,slerp,14978,-7086,0.2336294594249965,-0.039819012672427476,-0.17071240828515466,0.9563937450527683,CFA9A43A55C68B6484012D01,0xFF,0x0F,0x00,0x00,0xC0,0x00,1771000DCFA9A43A55C68B6484012D01FF533D7026C4040060F9FF61FFBF9412F02FD5536942C000
659919,1037264617,290,7,0x00,0x0D,4899200.475053362,-44920539.12753469,278496494.7065101,-805481983,1352741,-1191182688,0.024629943920190297,-0.059156305045526596,0.3665292251380197,0.3720883973526026,-0.05338040689394764,-0.052275407173286347,0.36451006763755095,slerp,14992,7278,0.2336287682080307,-0.039812288557149,-0.17071324261473841,0.9563940449110931,6FA8A4AA57C6DB6384F52401,0x00,0x00,0x00,0x04,0xC0,0x00,2271000D6FA8A4AA57C6DB6384F524010152FDCF25A41400A0FEFFB80080D511902AD5575942C000
