elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
22538,1077800542,3816,7,0x00,0x0D,4933062.027021577,-44772131.24178262,278623596.10566646,1610438015,-355289,1660941679,0.02543107121668537,-0.05898266002966172,0.3671914364218229,0.37276701107920535,-0.04096881556310005,-0.06388741932755175,0.3649591735412971,slerp,14877,7374,0.2123381522078369,-0.01895521769177083,-0.18040093946847027,0.960212846132623,CFFF660A8CE41B607DF12901,0x00,0x00,0x00,0x04,0xC0,0x00,E87E000DCFFF660A8CE41B607DF129017F55FD5F2794FAFF6FF5FF6200006A12C04AD5077842C000
60122,1077838126,3846,7,0x00,0x0D,5058177.5969764525,-44754953.9434304,278732471.4036505,-801286848,-740314,268433059,0.02635088403858712,-0.058896006109123315,0.3670174542311699,0.37264583767372184,-0.04180079731008699,-0.06352956671437089,0.364803519490801,slerp,14354,6993,0.21232063263202886,-0.018927385600246236,-0.18040619386414736,0.9602162820159459,EFF366FA96E4635F7DE93901,0x01,0x00,0x00,0x0C,0xC0,0x00,067F000DEFF366FA96E4635F7DE9390140553DD026B4F4FFA3F6FF0F01801413D05AD5FF6F42C000
89966,1077867970,3870,7,0x00,0x0D,4990200.969618229,-44865060.27903258,278844693.791725,-1610787586,-326617,-1258292169,0.02658522051630769,-0.05906931395020011,0.36727775316757316,0.3729462505137554,-0.04195962379592295,-0.0633795708130721,0.3651182352974502,slerp,15009,7503,0.21231310586115945,-0.01890733031968841,-0.18040865763829125,0.9602178784988957,CFED660A9EE4FB5E7DE93901,0xFE,0x0F,0x00,0x00,0xC0,0x00,1E7F000DCFED660A9EE4FB5E7DE93901FE54FD9F2704FBFF37FCFFB4FEFF3F13B03AD5037C42C000
127445,1077905449,3900,7,0x00,0x0D,5152114.204737398,-44801263.9385062,278772243.38664556,1346196353,-1760217,-1325401101,0.026583871817155342,-0.05898232285487363,0.36747870934127314,0.373130296906155,-0.0420055856673393,-0.063530123789418,0.36527479055270223,slerp,15156,7429,0.21230152532823698,-0.018891377901104855,-0.18041602085790515,0.9602193695203725,4FE3661AA4E4F35D7DF93401,0xFF,0x0F,0x00,0x04,0xC0,0x00,3C7F000D4FE3661AA4E4F35D7DF9340181533D502724E5FFF3FBFFB0FFBF3F13D04AD5578542C000
157481,1077935485,3924,7,0x00,0x0D,5097229.100572037,-44880955.71158707,278591949.6394838,4019394,-1125337,-1358955869,0.026467883690053363,-0.05904031691842462,0.36673018131171964,0.37239405711394613,-0.04178309712379752,-0.06328797985974956,0.3645903703799653,slerp,15034,7336,0.21228630329805268,-0.018875805994352048,-0.18042828864368607,0.9602207361004144,4FD7660AAAE43B5B7DE92F01,0xFE,0x0F,0x00,0x08,0xC0,0x00,547F000D4FD7660AAAE43B5B7DE92F01C2543D0027D4EEFFA3FAFFAEFE3F2A131040D5AB6242C000
172498,1077950502,3935,7,0x00,0x0D,5059639.743183817,-44881744.105540894,278693091.5743184,-1606594175,640039,1694498172,0.02554941956730396,-0.059098648156763696,0.3671334423582719,0.3727363512618774,-0.040965216391735684,-0.06375897282658641,0.36495072541658896,slerp,14781,7319,0.2122849216385218,-0.01886839188506037,-0.18043074032320303,0.96022072659312,4FD866BAACE46B5A7DF52901,0xFF,0x0F,0x00,0x00,0xC0,0x00,5F7F000D4FD866BAACE46B5A7DF5290181513DA027C409007CFDFF64FFFF7F124035D5537542C000
202490,1077980494,3959,7,0x00,0x0D,5098723.542338573,-44865181.932933,278561800.55218947,1077760895,-1027034,-1426064717,0.026929475974944675,-0.05915529352116233,0.36678817537527064,0.3725024980090473,-0.04214861876271981,-0.06302990211738782,0.3647037652649719,slerp,14821,7317,0.2122737942038127,-0.01885363443373944,-0.18043727513877394,0.9602222484943008,8FCF665AB2E4EB597DF13101,0x00,0x00,0x00,0x00,0xC0,0x00,777F000D8FCF665AB2E4EB597DF131017F533D402654F0FFB3FAFFAA00C07F13C02AD5536542C000
240129,1078018133,3989,7,0x00,0x0D,4881259.106789015,-44825830.10865084,278712457.64745,-264416125,1356838,201324940,0.025776338199686614,-0.05895467452225048,0.36696080886677124,0.3725591342366526,-0.04118515169493473,-0.06374682175703372,0.3647470829203523,slerp,15039,-7409,0.21226365501198513,-0.018830876365847356,-0.18044674677767403,0.9602231565805947,0FC7668AB9E483577DF12401,0x00,0x00,0x00,0x04,0xC0,0x00,957F000D0FC7668AB9E483577DF1240183543DF026B414008CF9FF0B0000AA12F04FD5576D42C000
269958,1078047962,4013,7,0x00,0x0D,5094542.143172617,-44816066.502760395,278582001.85498714,1073566527,361511,-956303324,0.02727339425879357,-0.059241947441700735,0.36701880293032224,0.37276835712743583,-0.04242574463316896,-0.06291122810053011,0.36496367168074645,slerp,16302,7452,0.2122538775735636,-0.018813072110289198,-0.1804529336416275,0.9602245042243455,2FC2668AC0E4CB567DFD3801,0x01,0x00,0x00,0x00,0xC0,0x00,AD7F000D2FC2668AC0E4CB567DFD38013F53FD3F2784050024F8FFC60180BF13B01AD5037042C000
307475,1078085479,4043,7,0x00,0x0D,5071807.373214642,-44927647.37181957,278644696.7254368,-264416705,680998,1560278764,0.02704242952895387,-0.05918462772772592,0.36698913154897056,0.3727132085520522,-0.04222495109821313,-0.06305671822830619,0.3649055214986409,slerp,15053,7340,0.2122382253219801,-0.018796216008890247,-0.18046385975170723,0.9602262406846834,4FB366AAC6E4AB547DF52F01,0xFE,0x0F,0x00,0x08,0xC0,0x00,CB7F000D4FB366AAC6E4AB547DF52F013F523DF026640A00ECF6FF5CFEBF94135025D5AB6E42C000
