elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
7492,1143347731,2633,7,0x00,0x0D,5007683.39294428,-44738144.37032641,278827749.9252226,-1069721982,37927,1560280112,0.02692913880015659,-0.0589253403156869,0.36750703202347246,0.37317394447434193,-0.01980997341580073,-0.08035732717406559,0.36388055424444526,slerp,15165,7492,0.17830937198456856,0.014611705614377293,-0.19504004813574988,0.964340005156227,2F71040A281574C672F53701,0xFE,0x0F,0x00,0x08,0xC0,0x00,497A000D2F71040A281574C672F5370182563DC02794000030FCFF5CFEBF7F136055D5AB8642C000
45231,1143385470,2663,7,0x00,0x0D,5097158.079180252,-44839206.00838379,278725635.75593853,-2143464255,-748505,402650503,0.02727204555964122,-0.058954000172674305,0.3675933487692228,0.37328837199240256,-0.02011076353051263,-0.08025828662271364,0.3640032599899957,slerp,15029,-7231,0.1782899111342485,0.014631373041120938,-0.1950475187147951,0.9643417941548914,AF6404EA2E155CC572F93901,0x00,0x00,0x00,0x08,0xC0,0x00,677A000DAF6404EA2E155CC572F93901C1543D802794F4FF87F5FF170040BF131050D5AB8A42C000
75180,1143415419,2687,7,0x00,0x0D,5038009.839866667,-44957652.48373333,278791167.3301333,272454528,-3032,1862269951,0.02681483654699504,-0.05915596787073851,0.36736272121417113,0.37306009292290526,-0.01959220747099125,-0.08015833268946818,0.3638194882610123,slerp,15000,-7262,0.17827899834761055,0.014646645977144683,-0.1950540728635838,0.9643422541655636,4F5A042A36151CC472F53501,0x01,0x00,0x00,0x0C,0xC0,0x00,7F7A000D4F5A042A36151CC472F5350180533D1028F4FFFFFFFBFF6E01806A13A02AD5FF7F42C000
91605,1143431844,2698,7,0x00,0x0D,4900807.8588173315,-44864847.356249176,278651615.287765,-1069723007,-412634,50329587,0.025661361596948894,-0.05912663366417493,0.3669028148032203,0.37252132797732945,-0.018497074651456016,-0.08040247262071837,0.3632704783268333,slerp,15186,-6023,0.17827404511691222,0.014656458208269909,-0.1950579602495816,0.9643422344861368,0F57045A38156CC372ED2C01,0xFF,0x0F,0x00,0x04,0xC0,0x00,8A7A000D0F57045A38156CC372ED2C0181523DC026B4F9FFF3F7FF02FFBF94121030D5A76A42C000
120005,1143460244,2722,7,0x00,0x0D,4909170.272411953,-44769389.33217716,278525112.71931696,1346196351,353318,402651812,0.026122953881840206,-0.059098310981975606,0.3667018586295203,0.37235100671648486,-0.01891850538243023,-0.08020074366098662,0.3631187176022457,slerp,14992,-7445,0.17825570676946972,0.01467374069682026,-0.19506321281727337,0.9643442991709354,8F4A04EA3F1584C272F13101,0x02,0x00,0x00,0x00,0xC0,0x00,A27A000D8F4A04EA3F1584C272F131017F533D5026640500A4FAFF170240EA125035D5536142C000
157649,1143497888,2752,7,0x00,0x0D,5098427.819102749,-44863745.512432575,278643754.3144323,268260160,377895,1543502536,0.027044115402894305,-0.05932860136223913,0.3672197591040222,0.37296329389625016,-0.019711501021120986,-0.07989674368581239,0.36377133706469866,slerp,15202,-7496,0.178238465357894,0.01468856395155984,-0.19507079709201836,0.9643457262194863,8F3C04EA4415DCC072F53501,0x01,0x00,0x00,0x08,0xC0,0x00,C07A000D8F3C04EA4415DCC072F535014053FD0F27C40500C8FAFF5B01009513A00AD55B7942C000
187415,1143527654,2776,7,0x00,0x0D,4939339.524779808,-44745157.486525565,278795797.9629289,-2143463742,-437208,-1325402789,0.02543107121668537,-0.05895366299788622,0.36750703202347246,0.3730733069395318,-0.01833346567243143,-0.08088472605488425,0.36373786918365014,slerp,15214,7464,0.1782176941559535,0.014705140649422818,-0.1950815187410926,0.9643471436022841,EF2B04AA4A1514BF72F92201,0x00,0x00,0x00,0x08,0xC0,0x00,D87A000DEF2B04AA4A1514BF72F92201C2563D802854F9FF5BF5FFB000006A122050D5AB8642C000
202466,1143542705,2787,7,0x00,0x0D,5125369.284235294,-44759945.769411765,278908053.9407059,-174850,1037351,251656868,0.02715740613169159,-0.059069988299776284,0.36727775316757316,0.372987581827275,-0.019893707851200988,-0.08011569312718687,0.36373816448104485,slerp,14875,7301,0.17821144943052428,0.014712837233903781,-0.19508258619672286,0.9643479643132963,EF25049A4D15ACBE72F93A01,0x00,0x00,0x00,0x00,0xC0,0x00,E37A000DEF25049A4D15ACBE72F93A01FE54FDFF27D40F00A4FAFF0E0000AA13903AD5037C42C000
232443,1143572682,2811,7,0x00,0x0D,5105253.517649446,-44819264.22234244,278542278.1065729,-1073916801,295974,1543502180,0.02727204555964122,-0.058954000172674305,0.3669311374854196,0.37263628146184413,-0.020015996000735458,-0.08004360940453832,0.36338709217486376,slerp,14788,7285,0.17819813017962105,0.014727153016473756,-0.19507816285756682,0.9643511019025346,2F1E044A531574BF72ED3E01,0x01,0x00,0x00,0x0C,0xC0,0x00,FB7A000D2F1E044A531574BF72ED3E017F54FDBF2684040064F9FF5B0140BF131050D5FF6B42C000
270152,1143610391,2841,7,0x00,0x0D,5093316.954095766,-44902377.97546498,278605580.09339136,-1338158593,701478,1694497136,0.026928127275792326,-0.05918496490251401,0.36704712561252156,0.37276209105742936,-0.01959928710336256,-0.08001051596218689,0.3635460931023904,slerp,15162,-7464,0.17817570971841376,0.01475267973113329,-0.19507962560795736,0.9643545585414887,8F0E049A5C1554BF72F93801,0x01,0x00,0x00,0x00,0xC0,0x00,197B000D8F0E049A5C1554BF72F93801FF513DB026B40A0070F9FF6401807F134025D5537142C000
