elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
22455,2476969173,3392,7,0x00,0x0D,6207933.81763261,-45235824.82320919,278696981.13788754,272452930,-1080281,-1476396677,0.03245239900381223,-0.0597598479162026,0.36701880293032224,0.3732655881922107,-0.2613915144565038,0.23469002340642509,0.12618347123179036,slerp,15063,7504,0.2096103636295457,-0.5058410669209502,0.1660060801725477,0.820140409820849,6F195F0A7623013478F67701,0x00,0x00,0x00,0x00,0x80,0x01,407D000D6F195F0A7623013478F67701424D3D102784EFFF7BF9FFA700807F17B0BAD40370428001
59990,2477006708,3422,7,0x00,0x0D,6222904.55686795,-45536491.03994691,278436909.1737226,-1606596224,-43995,218102427,0.0329123054147631,-0.05996114126469063,0.36649955375666804,0.37282768300290636,-0.261077793941472,0.2346781183769568,0.12555894025923042,slerp,15070,-7473,0.20958462658846852,-0.505806267703829,0.16600009857915018,0.8201696599612834,2F075F1A8323493278FA8201,0x03,0x00,0x00,0x0C,0x80,0x01,5E7D000D2F075F1A8323493278FA820180493DA02554FFFF9BFAFF0C03C0D4176095D4FF57428001
74881,2477021599,3433,7,0x00,0x0D,6222727.459997329,-45536383.77935088,278442336.22652596,809322818,-1489882,1409284807,0.032797665986813475,-0.05990314720113964,0.3668448207396693,0.37314768717265834,-0.26132494145254515,0.2347692676518381,0.1258247288228653,slerp,14974,7418,0.20956854231230088,-0.5057917281802358,0.16600035096309193,0.8201826852949764,8FFC5ECA8823813278F67A01,0x02,0x00,0x00,0x0C,0x89,0x01,697D000D8FFC5ECA8823813278F67A0142493D302644E9FFC7FAFF530280BF1720A0D4FF67428901
89994,2477036712,3446,7,0x00,0x0D,6230972.289531884,-45388333.81422779,278582010.57427204,1077759299,-355289,-33556477,0.03302829354186508,-0.059471563472388085,0.36687449212102097,0.373128165655174,-0.2616620439615407,0.23444707244307342,0.1256669128209014,slerp,16278,7557,0.20955597052587763,-0.5057781729253824,0.1659960735708679,0.820195122253403,2FF05EAA8D23A13178F67C01,0x00,0x00,0x00,0x04,0x80,0x01,767D000D2FF05EAA8D23A13178F67C01434D3D402794FAFF03F8FFFD0040EA1720F0D45769428001
104964,2477051682,3457,7,0x00,0x0D,6120348.907419567,-45295940.66535347,278553787.3005034,-268612030,-740314,-184550413,0.032337759575862594,-0.05955821739292648,0.3670754482947209,0.37327911365917554,-0.2614943001832319,0.23449079690649988,0.12638074945186917,slerp,13707,6249,0.20954527602482556,-0.5057641399058984,0.1659921572024367,0.8202073005211598,2FE85ECA9223713178FE7D01,0x00,0x00,0x00,0x0C,0x89,0x01,817D000D2FE85ECA9223713178FE7D01424EFDEF26B4F4FFF3FBFFF400406A1710E0D4AF72428901
142438,2477089156,3487,7,0x00,0x0D,6125888.965457455,-45388349.18058149,278697677.92157906,1077758338,-1039321,-1392509965,0.03222312014791297,-0.059817167630177415,0.3668448207396693,0.3730838317575337,-0.26114077012058085,0.23456160786728303,0.12640370174337712,slerp,14996,7485,0.20951654517571372,-0.5057200904723165,0.16597838375718982,0.8202445876174108,4FD55E2AA223912E78FA7201,0x00,0x00,0x00,0x0C,0x80,0x01,9F7D000D4FD55E2AA223912E78FA720182493D402724F0FFF3FBFFAC0000551710B0D4FF67428001
172400,2477119118,3511,7,0x00,0x0D,6028710.981563127,-45213939.38757515,278659902.2941884,-264417983,-375770,-1593837537,0.03141524935565615,-0.05973051370963902,0.3668448207396693,0.3730010384216317,-0.2608609792702725,0.23433250076113865,0.12715975481574715,slerp,14970,7438,0.20949343240221902,-0.5056878053535755,0.16597235651612693,0.8202716148749175,CFC35E6AAE23192D78F67001,0x01,0x00,0x00,0x0C,0x80,0x01,B77D000DCFC35E6AAE23192D78F67001414D3DF02644FAFF1FF8FFA00140BF1620C0D4FF67428001
209936,2477156654,3541,7,0x00,0x0D,6117871.858414239,-45339199.794498384,278621183.4304207,1883065923,-703450,1392506595,0.031991143893709,-0.05964419696388871,0.36701880293032224,0.3732072684494527,-0.2612674644830363,0.23442870240611677,0.1267523597977237,slerp,14832,7338,0.2094557573425044,-0.5056441310014909,0.16597252371601398,0.8203081249574226,EFA65E5ABD23692D78067201,0x01,0x00,0x00,0x00,0x89,0x01,D57D000DEFA65E5ABD23692D78067201434E3D702644F5FFE3F6FF5201002A1720D0D40370428901
239925,2477186643,3565,7,0x00,0x0D,6009208.089113551,-45252251.9223353,278381291.91430104,540888385,-781274,201324603,0.031529888783605776,-0.059673531170452286,0.36678817537527064,0.3729458805298401,-0.2608932833832505,0.23424719976203906,0.12708884252100214,slerp,14936,-7439,0.20942940011608824,-0.5056128273965698,0.16596632058107358,0.8203354043145049,8F925EFAC923712C78066801,0x01,0x00,0x00,0x04,0x80,0x01,ED7D000D8F925EFAC923712C78066801414D3D202614F4FF3BF8FF0B0180D416B0CAD45765428001
254925,2477201643,3576,7,0x00,0x0D,6206028.813611037,-45306501.082515255,278763592.7832316,272453251,-1104857,-83887709,0.03337356052486633,-0.05958721442470198,0.3673060758497725,0.3736016381403609,-0.26207042216032345,0.23474070430333738,0.1256744985788451,slerp,15076,-7515,0.20941488982441928,-0.5055945941699124,0.16596383189919559,0.8203508497998424,8F8A5E9AD023012C78F67E01,0x01,0x00,0x00,0x04,0x80,0x01,F87D000D8F8A5E9AD023012C78F67E01834E3D102724EFFFA3F9FFFA01402A18B0DAD4577D428001
284929,2477231647,3600,7,0x00,0x0D,6179128.178038379,-45224111.10021322,278568245.4584222,4017538,-424921,1543501851,0.03256568973260951,-0.059673531170452286,0.36696080886677124,0.3732046217750613,-0.261439210229763,0.23449185414382354,0.126272718387212,slerp,15008,-7472,0.2093867274067925,-0.5055575980723402,0.16595995809231115,0.8203816220072205,8F755EEADD23E12A78FA7401,0x01,0x00,0x00,0x00,0x80,0x01,107E000D8F755EEADD23E12A78FA7401824D3D002784F9FF1BF8FF5B01809417B0CAD4536D428001
322395,2477269113,3630,7,0x00,0x0D,6164396.539295934,-45328252.99607373,278598895.01297665,1883065539,-1809370,-1375733093,0.03187785316491172,-0.05984515313758865,0.36678817537527064,0.373002956384511,-0.26094436979659874,0.2344122340160104,0.12684693881471687,slerp,15027,7487,0.2093528958255957,-0.5055060963819309,0.16594451021767215,0.8204251160579838,CF5A5EAAF123592878E67201,0x00,0x00,0x00,0x04,0x92,0x01,2E7E000DCF5A5EAAF123592878E67201C34C3D702664E4FF9BFAFFAD00001517E0AAD45765429201
352344,2477299062,3654,7,0x00,0x0D,6196830.920391712,-45274115.084937714,278594475.78229296,-1875031294,-1104858,184546655,0.03279631728766112,-0.05964419696388871,0.3667598526930713,0.37302254383152694,-0.26139336426913395,0.23437501990931742,0.12604633023263484,slerp,15011,7421,0.20932942763069318,-0.5054725118478228,0.1659391693494895,0.8204528765076399,0F4A5EEAFD23512778F67A01,0x01,0x00,0x00,0x00,0x89,0x01,467E000D0F4A5EEAFD23512778F67A01024B3D902624EFFF5FF5FF0A0140BF1720D0D40364428901
389917,2477336635,3684,7,0x00,0x0D,5929128.255114241,-45370956.82917109,278752094.9925611,540887937,-1780697,50330651,0.03095669164385762,-0.059759510741414515,0.3669324861845719,0.3730535689404099,-0.2607268324138164,0.23421793347948236,0.12779844989371225,slerp,15056,-7503,0.2093030801073358,-0.5054333296407806,0.16592935446897214,0.8204857215523781,0F365E1A0E24912578FA6801,0x01,0x00,0x00,0x00,0x80,0x01,647E000D0F365E1A0E24912578FA6801814B3D2027D4E4FF1BFCFF0201406A16C0BAD4036C428001
421256,2477367974,3708,7,0x00,0x0D,6111110.238057165,-45392632.10553668,278707537.67259645,1887259523,-43993,-1191184657,0.032221771448760615,-0.059673868345240376,0.3670174542311699,0.3732305250497474,-0.26134170788821964,0.23439450720688004,0.12673102042602846,slerp,15009,-6138,0.20927890282848105,-0.5053966304673373,0.165923321703216,0.820515714692985,EF235EEA1924492478F27701,0x01,0x00,0x00,0x0C,0x89,0x01,7C7E000DEF235EEA1924492478F27701834B7D702754FFFFEFF6FFB801C05417A0CAD4FF6F428901
