elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,2502265191,3002,7,0x00,0x0D,6071170.0,-45492260.0,278407936.0,1341999231,-711642,-1358957245,0.03256568973260951,-0.05993214423291514,0.36658721920157067,0.3728787676203299,-0.2585216306620205,0.22465064871727974,0.1474355040443489,nearest,,-6258,0.1911620047492842,-0.4763320914867839,0.1618334458634024,0.8428373285278945,6FB1294A2C4E592E75F27601,0x01,0x00,0x00,0x00,0x80,0x01,BA7B000D6FB1294A2C4E592E75F276017F48FD4F2624F5FF43F5FFAE01809417C09AD4035C428001
13726,2502278917,3015,7,0x00,0x0D,6090662.130946836,-45413353.31771908,278500193.55219907,-2143466240,-429018,1593833791,0.03256838713091421,-0.0597598479162026,0.36678817537527064,0.3730489309171078,-0.25875291714815635,0.22458864148510066,0.1475546503557015,slerp,15029,7468,0.19115635014933918,-0.47632298131186523,0.1618318542071401,0.842844065195715,6FA729DA354EF12D75E67301,0x02,0x00,0x00,0x04,0x80,0x01,C77B000D6FA729DA354EF12D75E67301004D3D802674F9FF3FF9FF5E02009517B0BAD45765428001
28776,2502293967,3026,7,0x00,0x0D,6183607.49081435,-45352871.661700845,278500696.17583007,-532853118,-1444826,-167773197,0.03360418807991794,-0.05958687724991389,0.36684616943882165,0.373170134695749,-0.25936663730987014,0.2246306421531559,0.14671731828681495,slerp,14969,-7480,0.19114413060234073,-0.4763038893634486,0.16182783890444832,0.8428583966889356,0F9F29FA3B4E212D75EE7B01,0x01,0x00,0x00,0x00,0x80,0x01,D27B000D0F9F29FA3B4E212D75EE7B01824E3DE026F4E9FFF3FBFFF501005518C0DAD40368428001
66276,2502331467,3056,7,0x00,0x0D,6105317.589757268,-45454450.85009336,278838442.4283809,-537048835,-441306,1459616751,0.03222312014791297,-0.059903484375927726,0.36687449212102097,0.3731268549454742,-0.25857952832360365,0.2246756620945047,0.14792269695972796,slerp,14996,-7439,0.19111257349709718,-0.47626464530255613,0.16182763292193703,0.8428877678012832,AF88296A4A4E712D75F67001,0x01,0x00,0x00,0x04,0x80,0x01,F07B000DAF88296A4A4E712D75F67001FD48FDDF2644F9FFEFFBFF560100551710A0D45769428001
96746,2502361937,3080,7,0x00,0x0D,6079180.53094636,-45426524.34979369,278570452.48502594,-2143466688,-1088474,-1409288557,0.03268032916055914,-0.05984582748716483,0.3670174542311699,0.37329792216404695,-0.2589259845236995,0.22475654130454617,0.14762510074931595,slerp,15026,-7017,0.19109103398561897,-0.4762332812543984,0.16182436131693104,0.842911000426702,0F7A293A554EC12C75F27B01,0x00,0x00,0x00,0x0C,0x80,0x01,087C000D0F7A293A554EC12C75F27B01404B3D802664EFFF93F6FFAB00C0A917C0AAD4FF6F428001
133736,2502398927,3110,7,0x00,0x0D,6215514.039719626,-45287320.5364486,278587768.91214955,540888000,-1063898,1476395331,0.03303233963932213,-0.0595865400751258,0.3671617650404712,0.3734293144998211,-0.259318679104603,0.22464260676059067,0.14744142844891614,slerp,14980,7469,0.19106158358521275,-0.47619415490800876,0.16182425690917498,0.8429398009259923,0F6029FA654E612C75F67E01,0x01,0x00,0x00,0x08,0x80,0x01,267C000D0F6029FA654E612C75F67E01C04B3D2026C4EFFF430100580100EB17D0DAD4AB76428001
163751,2502428942,3134,7,0x00,0x0D,6101871.395734439,-45475750.00120345,278544534.1349201,-2143467454,-1092570,1711275323,0.03176186503780974,-0.05984549031237674,0.3666438645659693,0.3728512065224916,-0.2582105031988479,0.22440524212636628,0.14828231704853548,slerp,14957,-7478,0.19103716548696578,-0.476165969342297,0.1618141002998655,0.8429632067813883,8F4E29EA6F4E892A75F26E01,0x01,0x00,0x00,0x08,0x80,0x01,3E7C000D8F4E29EA6F4E892A75F26E0142483D802654EFFF3BFDFF650180FF16D0AAD4AB5E428001
178699,2502443890,3145,7,0x00,0x0D,6123447.340131974,-45432207.419316135,278391574.8434313,1614629826,-715738,-1409288953,0.03244970160550753,-0.05964419696388871,0.3667598526930713,0.37299222902521306,-0.2587168537258063,0.2243908042852074,0.14777536825755008,slerp,15003,7470,0.1910288366527188,-0.47615083800697505,0.16180821425053157,0.8429747711725532,CF48296A734E812975F27401,0x01,0x00,0x00,0x00,0x80,0x01,497C000DCF48296A734E812975F27401C24B3D602614F5FF07F5FFAB01007F1720D0D40364428001
208707,2502473898,3169,7,0x00,0x0D,6145664.28374858,-45375797.30625877,278401163.3542181,-1875031293,-48090,1627387207,0.03222042274960827,-0.05978850777319001,0.36673018131171964,0.372966281570915,-0.2585142186361161,0.22445173187986447,0.1479718419427252,slerp,14971,7462,0.19100927914155963,-0.4761167526232792,0.1617987213729699,0.8430002769367024,AF3929EA804E592775F26C01,0x01,0x00,0x00,0x08,0x80,0x01,617C000DAF3929EA804E592775F26C01034B3D902644FFFF47F5FF600180541760B5D4AB62428001
246179,2502511370,3199,7,0x00,0x0D,6120968.923030827,-45263162.393501565,278702668.7667621,-1069724095,-11226,-1224740501,0.03313888687235767,-0.059615874281689386,0.36698913154897056,0.3732737078399398,-0.25921891419410814,0.22455842131307946,0.14735104650453562,slerp,15019,7487,0.1909827292520257,-0.4760755789073891,0.16179243283130348,0.8430307520926921,CF25299A904E592675EE7F01,0x00,0x00,0x00,0x08,0x89,0x01,7F7C000DCF25299A904E592675EE7F01414E3DC026D4FFFF6BF1FFB600C0FE1760D5D4AB6E428901
