elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
8975,2745284085,3515,7,0x00,0x0D,6323700.224439402,-45470541.73064602,278749282.801922,1077758785,-707545,83885383,0.03337490922401868,-0.05978850777319001,0.3671037709769202,0.3734350397230171,-0.18867894613842992,0.1570949578647695,0.281380806720162,slerp,14984,-6009,0.035371818451700135,-0.2418885253415778,0.13203221884917804,0.960628059632478,8F736648B5A1029A5FF28301,0x01,0x00,0x00,0x0C,0x80,0x01,BB7D000D8F736648B5A1029A5FF28301414B3D402734F5FF47FDFF0401802A1860B5D4FF73428001
22503,2745297613,3526,7,0x00,0x0D,6183998.876905666,-45489910.30211038,278601838.2840024,805128639,-424922,-16779633,0.03268302655886384,-0.05993214423291514,0.36684616943882165,0.37314361065056306,-0.18792940029600264,0.15715890887273817,0.2814600718319637,slerp,15021,-7502,0.03536389805328301,-0.2418789434279816,0.13203221021942188,0.9606307651252977,0F6E6678B7A1229A5FFE7B01,0x02,0x00,0x00,0x00,0x76,0x01,C67D000D0F6E6678B7A1229A5FFE7B01BF49FD2F2684F9FF8FF6FFFE0240AA17C09AD40368427601
37477,2745312587,3538,8,0x00,0x0D,6029388.984812151,-45544869.86837197,278663999.02797765,272451201,-863193,100662015,0.0318468330844077,-0.060054201506202685,0.3670403821167598,0.3732818908016712,-0.18725777057668141,0.15732179743377,0.2819995556934969,slerp,15012,7472,0.03535595262866513,-0.24186308143666108,0.13202893808857,0.9606355010923172,6F686648BEA1BA995FEA7301,0x01,0x00,0x00,0x00,0x80,0x01,D28D000D6F686648BEA1BA995FEA730181463D1027D4F2FFFFFAFF0501400F172084D40371428001
67401,2745342511,3562,8,0x00,0x0D,6257623.987585931,-45507207.03357138,278869118.66088235,1883065345,-302041,83885543,0.03314563036811941,-0.05968802968634004,0.36714692934979537,0.37344097449439184,-0.18848455294990804,0.1569960415317848,0.2815741068954042,slerp,14983,-7437,0.0353405755492363,-0.24183455417595157,0.13202258986109944,0.9606441213543835,2F5D66C8C8A162985FF27E01,0x01,0x00,0x00,0x0C,0x78,0x01,EA8D000D2F5D66C8C8A162985FF27E01014C3D702764FBFFE7FDFF040100001800C8D4FF75427801
97398,2745372508,3586,8,0x00,0x0D,6205672.018432273,-45495528.55572319,278810595.3458839,4016000,218151,956299804,0.031590580245461464,-0.05992506356236531,0.3668016623667941,0.3730046079048382,-0.18691739338109384,0.1571208727314205,0.28197048945231173,slerp,15245,7562,0.0353292455471078,-0.24181483875299914,0.13202078359665542,0.9606497493188962,AF546658CFA1D2975FFA7101,0x02,0x00,0x00,0x0C,0x80,0x01,028E000DAF546658CFA1D2975FFA710180473D00275403001CFAFF3802C0DF16109CD4FF65428001
127321,2745402431,3610,7,0x00,0x0D,6039299.695768077,-45422195.52682439,278576100.5211596,540888193,-43994,-67110537,0.03164722560986011,-0.05993248140770322,0.3667018586295203,0.3729124593504899,-0.18690716717215128,0.15710181900029851,0.28186598174542055,slerp,15005,-7490,0.03531466946077456,-0.24178801044598394,0.1320265205308398,0.9606562496553951,6F4A6698D9A1BA985FF27501,0x01,0x00,0x00,0x04,0x80,0x01,1A7E000D6F4A6698D9A1BA985FF27501814C3D202654FFFF77F9FFFB0140EA16B09AD45761428001
157390,2745432500,3634,7,0x00,0x0D,6292095.127974405,-45476320.50869826,278719200.08318335,268257728,-1121241,-1325402497,0.03371747880871522,-0.05984549031237674,0.36701880293032224,0.3733914203518228,-0.18887479919207306,0.15710836785648902,0.28118396784307564,slerp,15003,-7435,0.035298577106438085,-0.2417639369222438,0.1320260532734897,0.9606629640592708,CF3E6678E2A1FA985FF28601,0x01,0x00,0x00,0x04,0x80,0x01,327E000DCF3E6678E2A1FA985FF28601C049FD0F27E4EEFF7FF6FFB001006A18D0AAD40770428001
172332,2745447442,3645,7,0x00,0x0D,6460400.248001599,-45547290.73141487,278784712.01065814,-801289597,-797657,83886415,0.03418278001627549,-0.05987448734415223,0.36704712561252156,0.37346620878572173,-0.1892897407665519,0.15714316679254126,0.280984747407619,slerp,15012,-7505,0.035290230102827426,-0.2417544069621266,0.13202483426231676,0.9606658365486345,6F376638E7A17A985FF68C01,0x02,0x00,0x00,0x04,0x80,0x01,3D7E000D6F376638E7A17A985FF68C01834A3DD027D4F3FF4F0100050240C01870A5D45771428001
202700,2745477810,3669,7,0x00,0x0D,6131150.407760518,-45424685.14994333,278554088.1221415,4016898,-1121242,1358953127,0.031992492592861355,-0.05984549031237674,0.3669324861845719,0.37315472891365603,-0.18730308728889955,0.15706881075429843,0.28194218182262376,slerp,14999,-7126,0.0352772222570238,-0.24173348978686415,0.13201875070115088,0.9606724139729422,AF2B6638EEA172975FFA7601,0x00,0x00,0x00,0x00,0x76,0x01,557E000DAF2B6638EEA172975FFA7601024B3D0026E4EEFFA7FAFF5000402A17D0AAD4036C427601
217337,2745492447,3681,8,0x00,0x0D,6119724.610336779,-45404811.08262754,278617933.945982,809323200,-809945,-922748201,0.03288533143171613,-0.05975175572128851,0.3670619613031974,0.3733446139572665,-0.18815557936421962,0.1570145673189995,0.28165600361902915,slerp,14995,-7484,0.035270116165489876,-0.24172249081374156,0.1320171205182305,0.960675666513183,AF296608F1A13A975F027E01,0x02,0x00,0x00,0x00,0x80,0x01,618E000DAF296608F1A13A975F027E01C04A3D3027A4F3FFD7FAFFC802C0CF1730BCD40372428001
