elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,2779448768,1980,7,0x00,0x0D,6027109.0,-45317168.0,278812128.0,-1606595838,-1096665,1577057619,0.031533934881062826,-0.05987415016936414,0.3671334423582719,0.37331791733778497,-0.1737629778142429,0.1512603165732626,0.2937567217557831,nearest,,-7497,0.017228030091010066,-0.21387190683871218,0.12853069204403436,0.9682158146028385,CFE9315844CAAA115DF26801,0x01,0x00,0x00,0x04,0x64,0x01,BC77000DCFE9315844CAAA115DF26801024B3DA02744EFFF53FDFF5D0140D51680A5D45775426401
30042,2779478810,2004,7,0x00,0x0D,6143171.348768736,-45344094.92826553,278761585.97858673,540888321,-1399769,-1526727637,0.032455096402116926,-0.059759510741414515,0.3669324861845719,0.37318089691745343,-0.17451703035543226,0.15107279220606706,0.29323164801074697,slerp,14944,-7364,0.017219134286343786,-0.21385242791861075,0.12852494545724252,0.9682210382360823,8FE131084ECA1A105DF67801,0x01,0x00,0x00,0x00,0x6D,0x01,D477000D8FE131084ECA1A105DF67801014D3D2027A4EAFF2BFCFFA401008017C0BAD4036C426D01
67645,2779516413,2034,7,0x00,0x0D,6093667.305340372,-45506842.466031395,278844623.1674779,-1606596605,-2460632,-1157629289,0.03187785316491172,-0.0601614230888144,0.3673060758497725,0.3735630438180868,-0.17410109845482105,0.15156284035990675,0.2937122071782104,slerp,14587,7133,0.01719390475307119,-0.21382881504601653,0.12852252627898794,0.9682270228279243,2FCF31A856CA6A0F5D027101,0x01,0x00,0x00,0x04,0x80,0x01,F277000D2FCF31A856CA6A0F5D02710103483DA02874DAFF97FAFFBA010015174070D4577D428001
97641,2779546409,2058,7,0x00,0x0D,6129439.962479173,-45524635.86004665,279085210.7473509,1077758081,-1133528,1644164807,0.032105783321658636,-0.05987448734415223,0.3673923925955228,0.3736213399880755,-0.17435941694856866,0.1512943377683642,0.29377154861400795,slerp,15005,-7467,0.017179256415776393,-0.21380835863844877,0.1285139531677357,0.968232938278044,EFC231585ECA020E5DF27501,0x02,0x00,0x00,0x04,0x76,0x01,0A78000DEFC231585ECA020E5DF2750181483D4028B4EEFFC7F6FF6102403F1770A5D45781427601
112687,2779561455,2069,7,0x00,0x0D,6172384.166168361,-45443648.66307887,279090318.2895489,809323329,-408535,-1526727993,0.032337759575862594,-0.05993214423291514,0.36767966551497305,0.37393305422220124,-0.17467497439005616,0.15141681695543996,0.2939175563059474,slerp,15051,-7472,0.01717486643591338,-0.213794645877343,0.12851227177726463,0.968236267323083,4FC0310864CA720D5DE67301,0x00,0x00,0x00,0x08,0x64,0x01,1578000D4FC0310864CA720D5DE67301414B3D3029C4F9FFC7FAFFA400406A17C09AD4AB8E426401
142615,2779591383,2093,7,0x00,0x0D,6220059.73070018,-45544852.74685817,278622218.1687612,-1069724797,-1067994,1711273691,0.033026944842712735,-0.059817167630177415,0.36687449212102097,0.37318328686852714,-0.17496999289367884,0.15108123254070965,0.2929602846099849,slerp,15039,7506,0.0171643933444198,-0.213773338458013,0.12851021276620128,0.9682414309357039,4FB631386BCA520D5DF67C01,0x01,0x00,0x00,0x04,0x80,0x01,2D78000D4FB631386BCA520D5DF67C01834B3DC026B4EFFFDBF6FF650100EA1710B0D45769428001
180101,2779628869,2123,7,0x00,0x0D,6284904.568943601,-45601013.23690373,278761944.4469124,-2143467452,-687066,301988283,0.03325757239776435,-0.060105114899203844,0.3670174542311699,0.3733905497855669,-0.1751946993210727,0.15138293631777497,0.29293433836062205,slerp,14947,7417,0.0171485704494183,-0.21373894046097552,0.12850200438274376,0.968250394645816,EFAC312878CA6A0B5DF28401,0x01,0x00,0x00,0x0C,0x6D,0x01,4B78000DEFAC312878CA6A0B5DF2840144483D802684F5FFBBF9FF1101C01418B07AD4FF6F426D01
210138,2779658906,2147,7,0x00,0x0D,6021941.6807172485,-45547083.441188276,278839374.5633614,-177537,-355289,50330603,0.03164722560986011,-0.059903821550715816,0.36727640446842086,0.37347285310238076,-0.17384283488953406,0.15128635186035042,0.29389297457201813,slerp,14946,7436,0.017135111941243508,-0.21371315292062776,0.1285005597640594,0.968256516811433,4FA2315881CA9A0B5DFE7101,0x01,0x00,0x00,0x0C,0x6D,0x01,6378000D4FA2315881CA9A0B5DFE71017F4AFDFF2794FAFFEBFBFF020140EA1600A0D4FF7B426D01
247681,2779696449,2177,7,0x00,0x0D,6211876.7692614775,-45523032.06147704,278668157.09381235,-2143467516,-1469402,-1140852373,0.033026944842712735,-0.06001812380387736,0.36678817537527064,0.3731307007815109,-0.17486932328256827,0.15123724613138315,0.29287289909275244,slerp,15030,-7449,0.01711524914628446,-0.2136803293822036,0.12849935214061387,0.9682642725936015,6F9231988DCA4A0B5DFA7901,0x00,0x00,0x00,0x04,0x6D,0x01,8178000D6F9231988DCA4A0B5DFA790104483D802694E9FF6BF9FFBB0000EA17D08AD45765426D01
277691,2779726459,2201,7,0x00,0x0D,6257304.763532237,-45519923.19453169,278702362.24792165,-1338160704,652327,-1140851020,0.032913654113915454,-0.059817504804965504,0.3671617650404712,0.3734557593823621,-0.17492264221009995,0.15113560409385773,0.29330752229235224,slerp,16239,7587,0.01710116328102748,-0.21365230280289504,0.12849418181942024,0.9682713922036597,6F89315899CA0A0A5DF67801,0x01,0x00,0x00,0x08,0x80,0x01,9978000D6F89315899CA0A0A5DF67801C0493DB027F40900B4FEFFBB0100D51700B0D4AB76428001
