elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
29849,2849776124,496,7,0x00,0x0D,6227105.005307856,-45402554.81714437,278634512.955414,1346194308,-35801,134216791,0.03302964224101743,-0.059846501836741,0.3670174542311699,0.37332877301246625,-0.14641868597898972,0.1404164083377759,0.3133993832551342,slerp,15072,-7529,-0.019233444337590146,-0.1576286811772508,0.12109978032507777,0.9798561714325482,AF4BC827BA1B4BAF57F27801,0x02,0x00,0x00,0x0C,0x6D,0x01,F071000DAF4BC827BA1B4BAF57F27801844B3D502774FFFF57FCFF070280EA17A0AAD4FF6F426D01
44834,2849791109,507,7,0x00,0x0D,6336778.702550336,-45516995.218255036,278514486.91973156,1341999233,-27610,33550667,0.03256299233430481,-0.06007645504221643,0.3670754482947209,0.37338172646900347,-0.14598683868080314,0.1406862494920848,0.31354287712657386,slerp,14900,-7444,-0.019242400337212213,-0.15761569961817476,0.12109855869135847,0.9798582348207374,8F47C8D7BD1B33AF57FA7B01,0x01,0x00,0x00,0x0C,0x52,0x01,FB71000D8F47C8D7BD1B33AF57FA7B018148FD4F2694FFFF4BF1FF01010094170080D4AF72425201
59835,2849806110,520,7,0x00,0x0D,6312013.975023312,-45574632.42733449,278464434.0098575,1346193794,1062,-1560283416,0.03268167785971149,-0.06013411193097934,0.3664429083922694,0.3727795710556557,-0.14589325432901323,0.1405856721850167,0.3129144223490115,slerp,15014,-7457,-0.019250214509368025,-0.15760137000750649,0.12109813661758938,0.9798604383894923,CF3EC847C41B33AF57EE7F01,0x01,0x00,0x00,0x04,0x52,0x01,0872000DCF3EC847C41B33AF57EE7F0182493D5026040000E8F6FFA20100AA175075D45755425201
74823,2849821098,531,7,0x00,0x0D,6279608.863481685,-45562858.944151595,278400084.3055982,-1338160896,-1117146,1241511939,0.033142932969814715,-0.06007578069264026,0.3668448207396693,0.37320594305984994,-0.14644911521818435,0.14058500388467848,0.3131631990987252,slerp,14987,-7456,-0.019257040086563544,-0.15758694580554497,0.12109623199363496,0.9798628595450123,2F3AC857C91B43AF57EE8201,0x01,0x00,0x00,0x0C,0x64,0x01,1372000D2F3AC857C91B43AF57EE820100493DB026F4EEFF03F8FF490180FF172080D4FF67426401
112267,2849858542,561,7,0x00,0x0D,6328856.0281742355,-45576197.00240964,278608617.6326228,-2143468094,-744410,-83887797,0.03417873391881845,-0.06027741121591638,0.36696080886677124,0.37344582927024517,-0.14745446042549334,0.14072315902900664,0.3129152633107958,slerp,16185,7302,-0.019270925446876756,-0.15756068605035758,0.12109032815253035,0.9798675390437598,EF31C8F7D21BABAD57F28401,0x00,0x00,0x00,0x04,0x52,0x01,3172000DEF31C8F7D21BABAD57F28401C2453D8026A4F4FF4BF9FFFA0080BF18C05AD4576D425201
142272,2849888547,585,7,0x00,0x0D,6147296.251624884,-45543328.168722644,278707807.9533095,-1875031934,-1809369,234878999,0.03222312014791297,-0.06004644648607668,0.3672197591040222,0.3734892992899371,-0.1456670294566501,0.14070203557259503,0.31381254021962185,slerp,15078,7454,-0.019294333954141284,-0.1575360455090575,0.12108732283041287,0.9798714116109305,4F20C8A7DB1B43AD57FA7201,0x02,0x00,0x00,0x04,0x52,0x01,4972000D4F20C8A7DB1B43AD57FA720182483D902764E4FF17F8FF0D020055179085D45779425201
179886,2849926161,615,7,0x00,0x0D,6225171.827948411,-45337030.06036431,278509191.7351416,4017215,-1076186,100660875,0.032104434622506284,-0.0595865400751258,0.36687449212102097,0.3730658701216347,-0.14542967837970242,0.140179640421685,0.31365270683868784,slerp,15042,7468,-0.01932102757608928,-0.1575029749067039,0.12108469558667857,0.9798765265499647,EF0CC807E81BFBAC57F67D01,0x02,0x00,0x00,0x04,0x49,0x01,6772000DEF0CC807E81BFBAC57F67D013F4C3D002694EFFF8BF6FF0502003F17D0DAD45769424901
209938,2849956213,639,7,0x00,0x0D,6331665.717642477,-45634714.36089835,278437585.5599117,-1073920004,-748507,-184550697,0.032913654113915454,-0.06007578069264026,0.3664429083922694,0.37279057547629313,-0.14604825911163863,0.14049085068048658,0.3128978108735801,slerp,15406,7533,-0.019328275393594316,-0.15747884484507446,0.12108237546695483,0.9798805486118447,2F05C8F7F11BCBAC57F28001,0x00,0x00,0x00,0x04,0x49,0x01,7F72000D2F05C8F7F11BCBAC57F28001FC47FDBF2594F4FFD7FAFFF40000D5172080D45755424901
224942,2849971217,650,7,0x00,0x0D,6196994.938090026,-45628919.350663565,278443337.66917497,536692545,1012774,-1392510264,0.03222312014791297,-0.06019176881974224,0.3666438645659693,0.3729465134970228,-0.14544815334881303,0.14070258717668613,0.3132678064831945,slerp,14618,7131,-0.01933347703053756,-0.157466365970618,0.12108356600423115,0.9798823043088472,4F00C8C7F51B8BAC57FA7D01,0x00,0x00,0x00,0x0C,0x64,0x01,8A72000D4F00C8C7F51B8BAC57FA7D014147FD1F26740F00C8FAFFAC00005517A06AD4AF5E426401
239937,2849986212,663,7,0x00,0x0D,6178270.947273577,-45654187.57151438,278552542.0628713,-1606596735,-1137626,150992951,0.03187650446575937,-0.06016209743839057,0.3668448207396693,0.37310951744583265,-0.14517499518934499,0.14074654361788805,0.31356872171830796,slerp,14983,-7475,-0.019340101782676204,-0.15745393476433664,0.12108460776316417,0.9798840424525262,CFFCC7F7FA1BEBAC57F66F01,0x01,0x00,0x00,0x0C,0x52,0x01,9772000DCFFCC7F7FA1BEBAC57F66F0181473DA026A4EEFF37F8FF0801C014172070D4FF67425201
