elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
29861,3806859479,2932,7,0x00,0x0D,6148412.5,-45257468.0,278511744.0,4017284,-347098,-1375734137,0.03337086312656163,-0.0596731939956642,0.366673535947321,0.37299327949919847,0.2890185791847609,0.22494862763464873,0.07064249686185659,slerp,14976,7488,-0.44919348293335454,0.6998517189991821,-0.05368326282188981,0.5527665814762032,47846417802057C0BAF87C01,0x01,0x00,0x00,0x00,0x2D,0x01,747B000D47846417802057C0BAF87C01844C3D0026B4FAFF87F6FFAD01C02918C0CAD40360422D01
59851,3806889469,2956,7,0x00,0x0D,6109901.725919498,-45224234.79287097,278648337.9875843,1614630464,-1342426,67106795,0.03279631728766112,-0.059471226297599995,0.3667018586295203,0.37293790140895844,0.28891143420795323,0.22518189733194527,0.07004266275068902,slerp,14981,7468,-0.4491880892525063,0.6998950443743239,-0.05369998024231836,0.5527144827629544,077864476D2087C0BA047E01,0x02,0x00,0x00,0x04,0x12,0x01,8C7B000D077864476D2087C0BA047E01404E3D602684EBFFEBF7FF030240BF1730F0D45761421201
97345,3806926963,2986,7,0x00,0x0D,6157068.427555675,-45477498.03514891,278723684.92836064,-2143467070,-1678297,184546979,0.03222042274960827,-0.05998946394688995,0.3672197591040222,0.37347990963800826,0.2889028886855523,0.22612250124658817,0.06993552918470647,slerp,14908,7431,-0.4491745294692329,0.6999472585874768,-0.05371189029165138,0.5526582217910695,A76F64E75720C7C2BAF47B01,0x01,0x00,0x00,0x04,0x09,0x01,AA7B000DA76F64E75720C7C2BAF47B01C2493D802764E6FFA3F6FF0A018054172090D45779420901
127367,3806956985,3010,7,0x00,0x0D,6158701.32069195,-45402380.39441118,278806615.8413839,-2143466366,-1006553,201323847,0.03256568973260951,-0.05964453413867679,0.3672197591040222,0.3734546104639712,0.28918325353252716,0.2257324221561948,0.06990182787764611,slerp,15030,-7504,-0.4491634724542409,0.6999931015698412,-0.053718835470239826,0.5526084685228808,47696427452057C5BAF07901,0x02,0x00,0x00,0x04,0x12,0x01,C27B000D47696427452057C5BAF07901824C3D8027A4F0FF47F5FF0B0280941710D0D45779421201
142326,3806971944,3021,7,0x00,0x0D,6169500.724299066,-45358717.71028037,278708807.55140185,-1606595518,-19417,301987175,0.03244970160550753,-0.05964487131346488,0.3673060758497725,0.37352944618121486,0.28920903931653447,0.2258560126072689,0.06979570410274195,slerp,14980,7455,-0.4491614127188856,0.7000162849677996,-0.05372051502203166,0.5525806116486743,076864273B20B7C5BAF47701,0x01,0x00,0x00,0x04,0x1B,0x01,CD7B000D076864273B20B7C5BAF47701424C3DA027B4FFFF67F5FF1101007F1700D0D4577D421B01
172355,3807001973,3045,7,0x00,0x0D,6306773.792721202,-45323182.97936561,278658835.51839733,1614630018,-1706970,-1157629273,0.03268302655886384,-0.059615199932113214,0.3671914364218229,0.373432327563529,0.2892177822584695,0.225651668634824,0.06990065906217896,slerp,14975,7478,-0.4491550474860432,0.7000578289300331,-0.053726250277048776,0.5525325958735348,C76464F72820D7C6BAF48001,0x00,0x00,0x00,0x00,0x1B,0x01,E57B000DC76464F72820D7C6BAF48001824C3D6026F4E5FFA7FAFFBA0040AA1780D5D40378421B01
210291,3807039909,3075,7,0x00,0x0D,6100602.096666667,-45316370.70133334,278703015.76533335,1350388934,-1403865,-1392510009,0.03302829354186508,-0.05967285682087611,0.3670174542311699,0.3733008568511212,0.2891932537652446,0.22539447754129233,0.07012931766629431,slerp,15000,-7045,-0.44913839404203504,0.700114795728052,-0.05375091260416948,0.552471551479557,675264271320B7C9BAFC7401,0x01,0x00,0x00,0x0C,0x36,0x01,037C000D675264271320B7C9BAFC7401C64C7D502794EAFFC7FBFFAC0140EA17D0CAD4FF6F423601
239857,3807069475,3099,7,0x00,0x0D,6203277.725443156,-45454307.64974011,278702655.5990937,1346193921,734247,16775548,0.033260269796069046,-0.05981784197975359,0.36698913154897056,0.373316812427581,0.2892024532277848,0.22533685879941145,0.07036109404020664,slerp,15006,-7492,-0.44912605008184736,0.7001496672558853,-0.05375906435471652,0.5524366005063899,A74B6497052097CCBAFC7901,0x01,0x00,0x00,0x08,0x12,0x01,1B7C000DA74B6497052097CCBAFC7901014A3D5027340B007CF9FF0001401518F0AFD4AB6E421201
277339,3807106957,3129,7,0x00,0x0D,6247372.840559441,-45200255.343589745,278585512.53333336,-1338159487,-334810,-1207961257,0.03348819995281596,-0.05958721442470198,0.3669311374854196,0.3732432923915969,0.2893375338848344,0.2250502813251652,0.07033290606981478,slerp,15015,-7504,-0.44912389787559087,0.7001833822468593,-0.053759233412928834,0.5523956013630436,C74C6477F51FA7CCBA007C01,0x01,0x00,0x00,0x0C,0x12,0x01,397C000DC74C6477F51FA7CCBA007C01814E3DB026E4FAFF57F9FFB701803F18B0DAD4FF6B421201
292324,3807121942,3140,7,0x00,0x0D,6230580.148336229,-45232892.04490178,278721989.0888681,272453378,-711641,134215659,0.03245105030465988,-0.05958687724991389,0.3670754482947209,0.3732935190263048,0.2890597005948807,0.2257285758027628,0.06956400581548305,slerp,14966,7481,-0.4491185047953108,0.7002013753875794,-0.053762582810921285,0.5523768525610622,87496407EF1F57CDBAF87A01,0x00,0x00,0x00,0x08,0x36,0x01,447C000D87496407EF1F57CDBAF87A01024F3D102724F5FFEBF7FF0700407F17C0DAD4AB72423601
307621,3807137239,3153,7,0x00,0x0D,6198223.304033361,-45332042.012119636,278705713.09363395,272452932,-2468825,218102771,0.032684375258016186,-0.05978715907403766,0.3672197591040222,0.3734877832708417,0.28918774748552517,0.22579854377273711,0.06984689389605425,slerp,15347,-7535,-0.4491087968499596,0.700226683857801,-0.05377032397724475,0.5523519096236305,474564D7E41F6FCFBAF07601,0x03,0x00,0x00,0x08,0x40,0x01,517C000D474564D7E41F6FCFBAF07601444D3D102754DAFFF3FBFF0C0380AA17A0B5D45B79424001
