elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
14920,3886073385,315,7,0x00,0x0D,6165478.32218521,-45491390.81625583,278752440.22704864,1614629379,-1014745,1744829767,0.03302829354186508,-0.05984582748716483,0.36727775316757316,0.37358444723212436,0.2826322181955984,0.2434809364329646,-0.020035020471519657,slerp,15010,7472,-0.42977826172446215,0.78138565634123,-0.07276415520255383,0.4465786375667152,87432D87B7862ECEC8F47B01,0x00,0x00,0x00,0x00,0x24,0x01,3B71000D87432D87B7862ECEC8F47B01034A3D602784F0FF47FDFF670040EA17C0AAD4037C422401
52485,3886110950,345,7,0x00,0x0D,6216028.3410927905,-45563352.06854187,278674391.6197866,-1069724798,-318426,1677720239,0.03314428166896707,-0.05993248140770322,0.3670754482947209,0.3734097353789893,0.28251810218783713,0.24335646642311887,-0.019899313104805125,slerp,15465,7550,-0.4297510151235819,0.7814260932850932,-0.07276922968335921,0.4465332741742079,873E2D87A6866ED3C8E08001,0x01,0x00,0x00,0x08,0x24,0x01,5971000D873E2D87A6866ED3C8E08001824B3DC02624FBFFAFFAFF6301C0FF17B09AD4AB72422401
82440,3886140905,369,7,0x00,0x0D,6082389.607225721,-45527598.98707325,278877881.2966523,-801289404,-1715161,218102771,0.03164722560986011,-0.059989126772101865,0.36687449212102097,0.3730913228537187,0.28146017695952835,0.2440176444599458,-0.020801278010454463,slerp,15085,7535,-0.42973357104101906,0.7814586128351754,-0.07277574009183733,0.44649208951575187,67382D079886EED6C8F07301,0x00,0x00,0x00,0x04,0x1B,0x01,7171000D67382D079886EED6C8F07301444B3DD027D4E5FFF3FBFF0C0040EA163090D45769421B01
97466,3886155931,380,7,0x00,0x0D,5951201.640503616,-45516725.39833914,278560780.4382534,4016323,-2046937,-1349,0.03141895827832511,-0.05996012974032637,0.3669324861845719,0.37312439951759113,0.281374811170525,0.2441495331706516,-0.021000919186247802,slerp,14932,-7456,-0.4297241613191866,0.7814750195273674,-0.07277938965452017,0.44647183502964444,47342D5790860ED8C8F06B01,0xFF,0x0F,0x00,0x00,0x12,0x01,7C71000D47342D5790860ED8C8F06B01C3483D0027C4E0FFBBFAFFFFFFFFBF169095D4036C421201
127460,3886185925,404,7,0x00,0x0D,6006988.746751949,-45478963.27323606,278640206.46172297,4016899,-11225,-67110597,0.03164587691070776,-0.0597308508844271,0.36687449212102097,0.37304976751350805,0.2815225790485525,0.24386108135334944,-0.021046128596704475,slerp,15009,-7440,-0.4297100397836407,0.7815029383387705,-0.07278852253247359,0.446435068139309,872F2DC7838696DBC8007301,0x01,0x00,0x00,0x04,0x12,0x01,9471000D872F2DC7838696DBC8007301034B3D0027D4FFFF3BF9FFFB0100EA1610C0D45769421201
164916,3886223381,434,7,0x00,0x0D,6092467.372077399,-45257067.2480516,278893231.1873152,-532853630,-375769,201324235,0.03187515576660702,-0.0597308508844271,0.36742071527772213,0.3736064535279283,0.2820630782458256,0.2440865260207149,-0.021070591433187097,slerp,14884,7353,-0.429698016678746,0.7815391952696336,-0.07279380312849307,0.4463823058161423,67292D0770864EDDC8F87101,0x01,0x00,0x00,0x08,0x24,0x01,B271000D67292D0770864EDDC8F87101824C3DE02744FAFFCBF6FF0B0180141710C0D4AB82422401
194909,3886253374,458,7,0x00,0x0D,6202196.460741331,-45568132.1418892,278593695.78318053,-264419198,-994266,1778384555,0.034181431317123145,-0.060104777724415755,0.36696080886677124,0.37341825048642663,0.2829684609382741,0.2428976740130796,-0.019255125800779316,slerp,15054,7476,-0.4296904670459762,0.7815654407964701,-0.07280057584566973,0.44634251471148173,E7272DD76086A6DEC8F87B01,0x02,0x00,0x00,0x04,0x1B,0x01,CA71000DE7272DD76086A6DEC8F87B0182483DF026D4F0FFABFEFF690200C018C07AD4576D421B01
232417,3886290882,488,7,0x00,0x0D,6164940.258435224,-45499419.43021314,278716041.298323,1077759173,-732122,-1291847041,0.03245341052817649,-0.0597598479162026,0.36696080886677124,0.37320865279630516,0.28204026398441934,0.24354057280704766,-0.020639220199590746,slerp,14967,7483,-0.42967203227228407,0.7815916774508249,-0.07281356988392715,0.44631219842546255,E71A2DE754865EE2C8F07701,0xFF,0x0F,0x00,0x04,0x1B,0x01,E871000DE71A2DE754865EE2C8F07701C54C3D4026D4F4FF7FFAFFB2FFBF7F17B0BAD4576D421B01
262430,3886320895,512,7,0x00,0x0D,6087700.275753208,-45472270.40999245,278725480.7691991,540887489,-23513,-16778917,0.032913316939127364,-0.05999013829646613,0.3671037709769202,0.3734264074623535,0.28235186922621575,0.2435474197748817,-0.02023259883700443,slerp,14571,7114,-0.42966875050830555,0.7816101333046116,-0.07281521654267256,0.44628276752752005,871B2D174A8626E3C8F87B01,0xFF,0x0F,0x00,0x0C,0x24,0x01,0072000D871B2D174A8626E3C8F87B01C1493D2027A4FFFF5BF9FFFEFFFFD4170090D4FF73422401
277424,3886335889,523,7,0x00,0x0D,6052501.202608352,-45522709.057831645,278679152.3730734,-1069725312,-326617,318766055,0.03256838713091421,-0.059903484375927726,0.3671334423582719,0.3734114242742456,0.2821906853332744,0.24368607874008258,-0.020532995834506157,slerp,15182,7537,-0.4296669014916482,0.7816190909983398,-0.07281586129649942,0.446268753883962,47192D974486CEE2C8F87001,0x00,0x00,0x00,0x00,0x1B,0x01,0B72000D47192D974486CEE2C8F8700180493DC02704FBFFE7FBFF120000951710A0D45375421B01
307439,3886365904,547,7,0x00,0x0D,6230444.11065793,-45421673.22626371,278399552.9050548,809323333,-1047514,218102103,0.03256568973260951,-0.059615199932113214,0.36681649805746996,0.3730534002764916,0.2820205928157896,0.24331954826401653,-0.020708020626748078,slerp,14956,-7423,-0.42965180989637786,0.7816478525448592,-0.07282104378339353,0.4462320612047882,A7162D1737862EE6C8F47A01,0x01,0x00,0x00,0x0C,0x1B,0x01,2372000DA7162D1737862EE6C8F47A01454B3D302604F0FF57F9FF0C0180941780D5D4AF66421B01
344899,3886403364,577,7,0x00,0x0D,6011389.412109757,-45405315.08440331,278740163.73746985,809323138,-969688,-1207960565,0.032453747702964574,-0.0596731939956642,0.3673343985319718,0.3735621717551944,0.28232514147234394,0.2437298933793775,-0.02090334261202398,slerp,15343,7463,-0.42962961467118255,0.7816866308749462,-0.07282499140061699,0.4461848562382716,47132D472586F6E9C8F47601,0x01,0x00,0x00,0x08,0x12,0x01,4172000D47132D472586F6E9C8F47601824A3D302834F1FF0BFCFFB701C07F17C0CAD4AB7E421201
374869,3886433334,601,7,0x00,0x0D,6251291.16508021,-45541359.54469813,278708663.6565267,4016641,-1059801,-1174406469,0.03302829354186508,-0.05993214423291514,0.36687449212102097,0.373201852963915,0.2822411323208026,0.2433282243812535,-0.020271692120717652,slerp,15023,7441,-0.4296181384602566,0.781712086238926,-0.07283322987091931,0.44614996353300285,270E2D6719864EECC8F87C01,0x01,0x00,0x00,0x04,0x00,0x01,5972000D270E2D6719864EECC8F87C01014A3D0027D4EFFFBBFAFFB90140EA17C09AD45769420001
412387,3886470852,631,7,0x00,0x0D,6189329.537724551,-45568289.58562874,278732745.2359281,-264418623,-1358810,1442839199,0.032221771448760615,-0.05990314720113964,0.3672197591040222,0.3734661712609506,0.2820265210943457,0.24392689724249686,-0.020921072567693044,slerp,15030,7506,-0.42960616068805696,0.7817418899826072,-0.07283609453056235,0.44610880677119974,870B2D770A86EEEDC8F87801,0x01,0x00,0x00,0x04,0x1B,0x01,7772000D870B2D770A86EEEDC8F87801C14A3DF02644EBFF9FFAFF5501C0541720A0D45779421B01
427396,3886485861,642,7,0x00,0x0D,6129575.773137924,-45623344.26581008,278732596.28187114,4016325,-707545,1660942691,0.03245105030465988,-0.06007611786742835,0.36704712561252156,0.37334408127665675,0.2819820816357625,0.24381664482427046,-0.020624072519961748,slerp,14943,-7458,-0.42959911158355774,0.7817552724279526,-0.07283925983151854,0.4460916268939735,07092D17038616F0C8F07801,0x00,0x00,0x00,0x08,0x2D,0x01,8272000D07092D17038616F0C8F07801C5483D002734F5FF63F9FF6200407F171080D45B71422D01
442398,3886500863,655,7,0x00,0x0D,6145597.609502895,-45615314.27137819,278618259.9576762,540887170,-1092569,1308620775,0.03245239900381223,-0.05987448734415223,0.36696080886677124,0.3732269385775666,0.28196826032183697,0.2436410379223199,-0.020767582699826703,slerp,15027,-7483,-0.42959464665088204,0.7817685156692659,-0.07284234421979006,0.4460722142946614,C7052D87FC8556F0C8F47A01,0x01,0x00,0x00,0x04,0x40,0x01,8F72000DC7052D87FC8556F0C8F47A0182483D202754EFFFE7F7FF4D01807F1770A5D4576D424001
457507,3886515972,666,7,0x00,0x0D,6079622.327868853,-45504810.63934426,278700694.8196721,540887043,-1014745,1459615747,0.03279496858850878,-0.06001846097866544,0.3671334423582719,0.3734497156523264,0.2822606887234435,0.24366642365773306,-0.020500431800840893,slerp,15128,-7502,-0.42958836915066767,0.781781915278147,-0.0728453760304105,0.44605428058196034,27042D57F58546F1C8F87C01,0x00,0x00,0x00,0x04,0x00,0x01,9A72000D27042D57F58546F1C8F87C0103483D202784F0FF03F8FF560000BF17C08AD45775420001
487512,3886545977,690,7,0x00,0x0D,6164702.321902655,-45403727.08908555,278479843.9669616,-264419004,-1113051,50329599,0.03245105030465988,-0.05996046691511445,0.3667018586295203,0.3729860337611836,0.28174007678236074,0.24354204179822378,-0.020697448932671725,slerp,13560,6071,-0.42957273432154247,0.7818120577951503,-0.07285339724054378,0.4460151956202141,07002DA7E6855EF5C8F07101,0x01,0x00,0x00,0x04,0x36,0x01,B272000D07002DA7E6855EF5C8F0710144493DF02504EFFFFFF7FF0201407F178095D45761423601
524979,3886583444,720,7,0x00,0x0D,6142914.32754591,-45399201.80086812,278790009.45896494,1883064896,-711641,352320139,0.0321067948460229,-0.05987448734415223,0.3671334423582719,0.37336679687385727,0.28187799302011246,0.24392936576467625,-0.021119341288034416,slerp,14975,7442,-0.42955879238554584,0.7818453087760413,-0.07285370029695568,0.4459702853130572,27FF2CE7D58576F7C8F87701,0xFF,0x0F,0x00,0x04,0x36,0x01,D072000D27FF2CE7D58576F7C8F87701404A3D702724F5FF8BFAFF14FF7F3F1770A5D45775423601
554994,3886613459,744,7,0x00,0x0D,6164121.369879438,-45524786.93185905,278522973.29301274,-1875032189,-981977,1526725991,0.031992492592861355,-0.06001879815345353,0.36696080886677124,0.37321041110644854,0.2816349713758805,0.2439752484027352,-0.021067321214974274,slerp,15013,7478,-0.4295530997119247,0.7818637158323484,-0.07285654138720826,0.4459430330993009,67FD2C37CD851EF8C8F87F01,0x02,0x00,0x00,0x04,0x2D,0x01,E872000D67FD2C37CD851EF8C8F87F0183473D902704F1FF67FDFF5A02402A17B08AD4576D422D01
