elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
22478,3948669134,882,7,0x00,0x0D,6403504.985274521,-45607177.79424307,278664940.8294243,272452160,-326617,-1392511369,0.0338334669358172,-0.06004745801044094,0.36687449212102097,0.373292504167268,0.26528123225591627,0.2518681703168918,-0.07440152055888108,slerp,15008,7477,-0.4158178994480003,0.8250754264942445,-0.08432854928504434,0.37314167667184156,47C10B675F1C8EEAD2F88301,0x01,0x00,0x00,0x04,0x12,0x01,7273000D47C10B675F1C8EEAD2F88301404A3D102704FBFF77F6FFAC01807F186085D45769421201
52622,3948699278,906,7,0x00,0x0D,6178302.221147432,-45514756.38692462,278828955.6664443,1614629059,-2104281,-50332625,0.032455096402116926,-0.059989126772101865,0.36724808178622154,0.3735280206209559,0.2645606069812571,0.2526894057236784,-0.07535868667733261,slerp,14990,-7365,-0.41581714039841206,0.8250914908250603,-0.0843326465759455,0.37310607371157,A7BD0BA7521C2EEAD2047C01,0x00,0x00,0x00,0x0C,0x12,0x01,8A73000DA7BD0BA7521C2EEAD2047C01C3483D6027E4DFFF2FFCFFFC000080173090D4AF7A421201
90027,3948736683,936,7,0x00,0x0D,6206055.964020598,-45547501.855681136,278627656.7613188,272451712,9254,-1392509304,0.03314428166896707,-0.06001846097866544,0.36678817537527064,0.3731411591619446,0.2647157979777363,0.25211626176782675,-0.07481484821843001,slerp,14953,-7435,-0.41581001829090514,0.8251119826625338,-0.08433746500489264,0.37306760346104606,A7BB0BA7421CFEEBD2F07301,0x00,0x00,0x00,0x00,0x12,0x01,A873000DA7BB0BA7421CFEEBD2F0730180483D102624000088FEFFAC00C0FF17C08AD45365421201
120038,3948766694,960,7,0x00,0x0D,6150650.771316819,-45447804.98878749,278818642.7327249,1618823939,-1039321,335541579,0.031991143893709,-0.05993214423291514,0.36704712561252156,0.3732812446673381,0.2640798958781458,0.2527471803527124,-0.07562776631065021,slerp,15340,7572,-0.4158057278810948,0.825129183926227,-0.08433598324174503,0.37303467456144035,27BD0BA7361CA6ECD2E86F01,0x01,0x00,0x00,0x04,0x12,0x01,C073000D27BD0BA7361CA6ECD2E86F01034B7D602724F0FF4BF5FF1301002A17C09AD45771421201
135361,3948782017,971,7,0x00,0x0D,6134293.946980267,-45502744.22217793,278653514.52634376,1614629314,-1387481,251656227,0.03245105030465988,-0.05978817059840192,0.3670754482947209,0.37332570330764725,0.26444285129268724,0.2524673551427119,-0.0755135334730604,slerp,15051,-7496,-0.4157977800771283,0.8251429756179443,-0.08433868225784026,0.37301241607526653,67BA0B37301C76EDD2F87701,0x02,0x00,0x00,0x08,0x12,0x01,CB73000D67BA0B37301C76EDD2F87701C2493D6027D4EAFF23F8FF0E02407F1770B5D4AB72421201
164996,3948811652,995,7,0x00,0x0D,6294107.403611259,-45503601.43441317,278688386.61710036,-2143466751,-687065,1493170175,0.03394675766461449,-0.05993214423291514,0.3673060758497725,0.3737084393273101,0.26562173267738887,0.2520351090541483,-0.07470874485613643,slerp,15064,-7482,-0.41579007764602055,0.8251669276653937,-0.0843492028023506,0.3729656348847427,87B50BE71E1CA6EFD2F08701,0x02,0x00,0x00,0x00,0x09,0x01,E373000D87B50BE71E1CA6EFD2F08701014B3D802784F5FFFFF7FF5802809418C09AD4537D420901
202460,3948849116,1025,7,0x00,0x0D,6098945.978602475,-45568115.11467736,278636446.5128719,1614628483,-1780697,-1493174649,0.03210713202081098,-0.06016243461317866,0.3671617650404712,0.37344095674259004,0.26416491134452713,0.2529236723277335,-0.07552922456514699,slerp,14955,7430,-0.4157728786111379,0.8252004129684506,-0.08435576247186616,0.3729092345141063,C7AE0B07091C06F2D2E87101,0x01,0x00,0x00,0x08,0x12,0x01,0174000DC7AE0B07091C06F2D2E8710183463D6027D4E4FF87F6FFA601803F171070D4AB76421201
232483,3948879139,1049,7,0x00,0x0D,6077005.772572345,-45552025.758203566,278719368.2913854,1614628865,-1428441,-1124074197,0.03256973583006656,-0.060046783660864765,0.36719008772267053,0.37349024678274734,0.26452414779428146,0.25265778628234287,-0.07540545541572355,slerp,14963,-7480,-0.4157564915263404,0.8252234812267869,-0.08436675898123981,0.3728739676682357,C7A40B17FC1BF6F5D2F87501,0x01,0x00,0x00,0x0C,0x24,0x01,1974000DC7A40B17FC1BF6F5D2F8750101483D602734EAFF2BFDFFBC014095178085D4FF77422401
269987,3948916643,1079,7,0x00,0x0D,6135979.07118422,-45559286.36203508,278771579.99621516,536693952,-682969,150992923,0.03279631728766112,-0.05981683045538933,0.36684616943882165,0.37313504748991133,0.2644742258535321,0.2522027615697606,-0.07534530231580332,slerp,13739,6287,-0.4157583314978104,0.8252393724935534,-0.08436874762239736,0.37283629423814313,67A30B87ED1B46F5D2FC7301,0x00,0x00,0x00,0x00,0x24,0x01,3774000D67A30B87ED1B46F5D2FC7301C04CFD1F2794F5FF1BF8FF080040BF1720B0D40368422401
314958,3948961614,1114,7,0x00,0x0D,6060735.755537763,-45410283.916733384,278735623.2591407,-1338160383,-1760217,268432343,0.03221772535130357,-0.05981649328060124,0.36698913154897056,0.3732251564006208,0.26414663743120026,0.2525586536266536,-0.07574759258451652,slerp,14988,-7484,-0.4157525276535551,0.8252643674787288,-0.08437477051663779,0.3727860748738857,A7A10BF7DB1B76F6D2F07A01,0x02,0x00,0x00,0x08,0x2D,0x01,5A74000DA7A10BF7DB1B76F6D2F07A01014B3DB02724E5FFD7F3FF0F0200541730B0D4AB6E422D01
