elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,3996064066,1663,7,0x00,0x0D,5896880.0,-45109660.0,278834048.0,540888900,-977881,1593833075,0.030953994245552924,-0.0595288831863629,0.36704712561252156,0.3731292404966187,0.24590279147937524,0.2576209330772228,-0.11130454661268585,nearest,,-7533,-0.40666642761821736,0.8505715404531187,-0.0940490065781196,0.3198519275869927,079AEF2636CF7D89D9006A01,0x00,0x00,0x00,0x04,0x12,0x01,7F76000D079AEF2636CF7D89D9006A01444F3D202714F1FF73F6FF5E00C0691680E5D45771421201
29951,3996094017,1687,7,0x00,0x0D,6118619.86605047,-45447118.643192485,278567394.03051645,1346194307,-691162,1526724291,0.03279631728766112,-0.059903484375927726,0.36701880293032224,0.3733186675916658,0.24727192183233976,0.2570741223943378,-0.11016496648635189,slerp,13632,6115,-0.40665814178548715,0.8505836810816386,-0.09405042841354994,0.31982975801574787,C79AEFB62ACF758CD9F47C01,0x01,0x00,0x00,0x00,0x24,0x01,9776000DC79AEFB62ACF758CD9F47C01834B3D502674F5FFC3F6FF5A0140BF1710A0D40370422401
67445,3996131511,1717,7,0x00,0x0D,6107109.953705557,-45486989.23914348,278620950.9214862,-805483968,312358,1543502500,0.03233641087671025,-0.059875161693728404,0.3671334423582719,0.3733867203772412,0.24697101156487125,0.2573267713610442,-0.11048029300104718,slerp,14991,-7495,-0.40665188697392807,0.8506023000045239,-0.09405311601203,0.3197874003396403,279AEF861ACF7D8DD9F07201,0x02,0x00,0x00,0x04,0x24,0x01,B576000D279AEF861ACF7D8DD9F07201404AFDCF26C40400A4FAFF5B02006A1750A5D45775422401
82449,3996146515,1728,7,0x00,0x0D,6282335.062916112,-45323178.31131824,278702882.90599203,-532853631,-687066,1778382855,0.03360283938076559,-0.05970185385265161,0.3670174542311699,0.3733567648753961,0.24789462614370433,0.2566116709493934,-0.10997262632062182,slerp,15020,7509,-0.40665277196276817,0.8506079769601844,-0.09405511783753243,0.31977058556919713,4795EFD614CF458DD9F48401,0x01,0x00,0x00,0x0C,0x12,0x01,C076000D4795EFD614CF458DD9F48401814C3DE02684F5FF07F8FF6901C0541870C5D4FF6F421201
97457,3996161523,1741,7,0x00,0x0D,6339195.09573187,-45200310.74444742,278908441.59486216,2147307136,13351,1660942300,0.033948106363766835,-0.059471900647176175,0.36750703202347246,0.3738325821527263,0.24848230853591333,0.25662930532990524,-0.11022132946725104,slerp,14948,-7451,-0.40665222012466634,0.8506149720558072,-0.09405594135944079,0.3197524371715841,8796EFA60DCF358DD9EC8C01,0x01,0x00,0x00,0x08,0x09,0x01,CD76000D8796EFA60DCF358DD9EC8C01804EFD7F27340000DCF7FF6201C0941810F0D4AB86420901
112483,3996176549,1752,7,0x00,0x0D,6167377.711267605,-45220062.02304737,278999342.8834827,540888194,-723928,-1258292541,0.032684375258016186,-0.059759510741414515,0.36744903795992145,0.3737087943944213,0.2474282362864486,0.25731229792556687,-0.11057989072238011,slerp,15620,7575,-0.4066482604872718,0.8506228793547203,-0.0940575702994931,0.3197359579877072,A794EF5608CFBD8DD9F47801,0x01,0x00,0x00,0x0C,0x2D,0x01,D876000DA794EF5608CFBD8DD9F47801824C3D2028F4F4FFC3FAFFB40180AA17C0BAD4FF83422D01
149984,3996214050,1782,7,0x00,0x0D,6234254.494407456,-45391838.20745672,278763629.4199734,272452545,-670681,1694496751,0.03268167785971149,-0.05964419696388871,0.3670754482947209,0.3733227920177971,0.2471902110952821,0.25700496485908364,-0.11052309539826716,slerp,15020,-7481,-0.4066368776482911,0.8506435109972946,-0.09406276614451348,0.3196940145825174,E791EF96F8CE5590D9F08001,0x00,0x00,0x00,0x0C,0x12,0x01,F676000DE791EF96F8CE5590D9F08001C14B3D1027C4F5FFEFF7FF640000AA1720D0D4AF72421201
179910,3996243976,1806,7,0x00,0x0D,6372125.764364365,-45328603.71358024,278515626.82042044,4017730,-1768409,1577055563,0.034061397092564116,-0.05955754304335031,0.3666438645659693,0.37300804700318024,0.24798863481403785,0.25610170017322686,-0.10976592959830074,slerp,14985,7456,-0.40663116859760134,0.8506603803538422,-0.0940639633776718,0.3196560351610614,878FEFD6E9CE1D91D9E88701,0x00,0x00,0x00,0x08,0x24,0x01,0E77000D878FEFD6E9CE1D91D9E88701424E3D002704E5FF4BF5FF5D00C0A91830E0D4AB5E422401
194923,3996258989,1817,7,0x00,0x0D,6334080.680084886,-45403808.13236952,278339353.40645933,-1875031615,-306139,1677719855,0.033142932969814715,-0.06001879815345353,0.36658587050241837,0.37294223492337586,0.24718606196573456,0.25675172661163803,-0.10983402132971934,slerp,15079,7484,-0.40662681456939137,0.8506690469176945,-0.09406979206845238,0.319636794674032,C78BEFC6E3CEAD91D9FC8001,0x02,0x00,0x00,0x0C,0x09,0x01,1977000DC78BEFC6E3CEAD91D9FC8001C1493D902554FBFF2FF9FF630280FF17B08AD4FF5B420901
209941,3996274007,1830,7,0x00,0x0D,6269766.485508197,-45542298.16078688,278484830.8899672,272452098,-1735642,1526725947,0.032337759575862594,-0.05998946394688995,0.36673018131171964,0.3730087027992085,0.24664815658497724,0.25716170155573204,-0.11030883223994975,slerp,15250,7423,-0.40662342723933703,0.8506753596663246,-0.09407526671706797,0.3196226917301358,2787EFD6DCCE5592D9F47B01,0x00,0x00,0x00,0x0C,0x12,0x01,2677000D2787EFD6DCCE5592D9F47B01024A3D102684E5FF3BFDFF5A00406A172090D4AF62421201
