elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
30022,4024695941,3925,7,0x00,0x0D,6115042.845631778,-45120313.20194291,278735728.6419589,-801288128,-1723354,-1442842649,0.03176186503780974,-0.059384909551849684,0.3671037709769202,0.37322990531123906,0.23495656906573734,0.2593921286651325,-0.1296599261840963,slerp,15029,-7493,-0.40134833129574293,0.8633783614971279,-0.1000807307075429,0.28893108037333365,A723DED66BA21564DDF47301,0x01,0x00,0x00,0x0C,0x1B,0x01,557F000DA723DED66BA21564DDF4730140503DD026B4E5FFE7F7FFA90180FF163000D5FF73421B01
44962,4024710881,3936,7,0x00,0x0D,6098726.447136564,-45125724.93979442,278605377.5976505,-2139270973,-1018841,-1275069473,0.03233641087671025,-0.05935658686965037,0.3670174542311699,0.37318984389118987,0.2353687787897221,0.25908601252245356,-0.12940879286115203,slerp,14982,7447,-0.40134375693029023,0.8633862636343811,-0.10008746011987402,0.2889114896768486,671EDE9665A23565DDFC7901,0x01,0x00,0x00,0x0C,0x09,0x01,607F000D671EDE9665A23565DDFC7901C3507D802774F0FFDFFBFFB301006A177005D5FF6F420901
59953,4024725872,3949,7,0x00,0x0D,6080521.4484576695,-45277562.82043512,278585715.3365251,1077759107,-990170,1459616731,0.03210982941911568,-0.05981683045538933,0.36687449212102097,0.3731031858884491,0.2350688986277074,0.25938886887545887,-0.12909692065102554,slerp,16501,7456,-0.40133953803451494,0.8633936917954099,-0.10009666130655726,0.2888919634974555,8718DE465CA22566DDEC7801,0x03,0x00,0x00,0x04,0x00,0x01,6D7F000D8718DE465CA22566DDEC7801834C3D4026E4F0FFDBFBFF560300401720B0D45769420001
75045,4024740964,3960,7,0x00,0x0D,6154095.05436055,-45401066.11735441,278725351.9929763,1614629571,-23513,1728052915,0.03256973583006656,-0.05984616466195291,0.3671037709769202,0.3733731776417007,0.23556794601272385,0.25936745726097654,-0.12901083174517913,slerp,13668,6047,-0.4013344324107778,0.8634011559172526,-0.10010140182314166,0.2888751056690639,C713DEE656A25567DDF07001,0x01,0x00,0x00,0x0C,0x1B,0x01,787F000DC713DEE656A25567DDF07001C34A3D6027A4FFFFB3FEFF6601409517B0AAD4FF73421B01
105096,4024771015,3984,7,0x00,0x0D,6148526.008843673,-45389636.396834895,278788649.26657355,809323522,-1342425,-1291846373,0.032455096402116926,-0.05978783342361384,0.36704712561252156,0.373298152591698,0.23543360006374667,0.2593384062880753,-0.1290973342612451,slerp,15039,7484,-0.4013236521769008,0.8634166227572019,-0.10011331312515866,0.28883972421577603,270ADE464AA2F568DDF87501,0x01,0x00,0x00,0x04,0x1B,0x01,907F000D270ADE464AA2F568DDF87501024C3D302784EBFF1BFDFFB20100801780B5D45771421B01
142613,4024808532,4014,7,0x00,0x0D,6110114.057803853,-45262735.92852857,278833879.8223882,-1069724607,-1027033,-922750005,0.03279496858850878,-0.05964453413867679,0.3674503866590738,0.37370144109067055,0.23593680470029632,0.25936356218015855,-0.12929475578799454,slerp,14999,7495,-0.4013141158205919,0.8634337443497759,-0.1001247046461016,0.2887978411982908,2702DE763BA28D6ADDFC7401,0x01,0x00,0x00,0x00,0x00,0x01,AE7F000D2702DE763BA28D6ADDFC7401414C3DC02754F0FFCBF3FFC80100BF1710D0D40384420001
172635,4024838554,4038,7,0x00,0x0D,6182890.211321792,-45304219.52624347,278537496.34954655,2147306176,-1395674,285210335,0.03268032916055914,-0.05987448734415223,0.36710511967607257,0.3733887077043856,0.2356122471501794,0.259345853352093,-0.12901831026280175,slerp,14556,7096,-0.4013055181728623,0.8634510627632999,-0.10012691192692871,0.2887572419956175,E7FFDDE62BA2ED6BDDF47501,0x01,0x00,0x00,0x00,0x12,0x01,C67F000DE7FFDDE62BA2ED6BDDF47501C04AFD7F26B4EAFFDFF6FF1001C0A91770A5D40374421201
210140,4024876059,4068,7,0x00,0x0D,6123965.569348915,-45328546.662838064,278650431.9700835,-264418177,-322522,83884667,0.03222312014791297,-0.0595288831863629,0.36681649805746996,0.37300986669608127,0.23507359687799187,0.25912484919400836,-0.12934866537252784,slerp,14975,-7468,-0.4012954029371981,0.8634703983420506,-0.10012689719402713,0.2887134829321087,A700DEE619A2756EDDEC7201,0x00,0x00,0x00,0x08,0x12,0x01,E47F000DA700DEE619A2756EDDEC72017F4C3DF02614FBFF7BFAFF040000551780E5D4AB66421201
225102,4024891021,4079,7,0x00,0x0D,6157383.600479425,-45214070.01677986,278519758.1142629,809324416,-2395098,1660942959,0.03256973583006656,-0.05935591252007419,0.36684616943882165,0.3730415849138909,0.23537833721038212,0.2588906776173926,-0.12935485877983333,slerp,15018,7494,-0.40129519237430894,0.8634742612219606,-0.10013116679805506,0.28870074163416337,E7FEDD5616A2256EDDF87901,0x02,0x00,0x00,0x00,0x1B,0x01,EF7F000DE7FEDD5616A2256EDDF87901804F3D302674DBFF6FFAFF62024095179005D50368421B01
240102,4024906021,4092,7,0x00,0x0D,6149336.605805806,-45336539.46506506,278650761.51991993,-1879225536,-998362,1644164799,0.03222042274960827,-0.059817167630177415,0.36696080886677124,0.3731976479422335,0.2351294278851743,0.2594084593673269,-0.12922030715284577,slerp,14985,7476,-0.40129354960659314,0.8634787014309832,-0.10013640114472375,0.2886879290600612,A7F8DD1611A22D6EDDF87701,0x00,0x00,0x00,0x04,0x2D,0x01,FC7F000DA7F8DD1611A22D6EDDF87701404BFD8F26C4F0FFBFF6FF610080541710B0D4576D422D01
