elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
30010,4077137707,523,7,0x00,0x0D,6156104.087658439,-45685769.46124083,278391702.36797863,-801290367,-1399771,1493169815,0.03256703843176186,-0.06013310040661508,0.36681649805746996,0.37313663047719364,0.21193828974899984,0.26307951425473974,-0.15843697649738503,slerp,14990,7454,-0.39174847091964465,0.882981610050633,-0.10866550208195523,0.23466661565248,C745C586D653E557E4F47C01,0x01,0x00,0x00,0x0C,0x24,0x01,0B72000DC745C586D653E557E4F47C0181473DD025A4EAFF97F6FF5801C094178075D4AF66422401
45023,4077152720,534,7,0x00,0x0D,6151324.407631579,-45665537.845526315,278455519.51578945,-1606597244,-1031130,-1325401781,0.032913654113915454,-0.06021975432715348,0.3667018586295203,0.3730683322940958,0.2121744868959473,0.2629344908736318,-0.15820057262906295,slerp,15200,7477,-0.39174443058923797,0.8829873912518247,-0.10866722293084263,0.23465081004145164,C743C5E6D053CD58E4F47D01,0x00,0x00,0x00,0x08,0x1B,0x01,1672000DC743C5E6D053CD58E4F47D0184453DA02644F0FF4BF9FFB00000D5177065D45B61421B01
59985,4077167682,547,7,0x00,0x0D,6062005.415515841,-45566564.38992689,278595460.52315193,-537048704,-7130,1577056227,0.03187650446575937,-0.05993248140770322,0.36701880293032224,0.3732436410296189,0.21142400442473494,0.26333613436482084,-0.15894900521818214,slerp,14772,7239,-0.39174010005371956,0.8829934289276659,-0.1086664098183701,0.23463569604314458,0744C556CA532D59E4F07201,0x01,0x00,0x00,0x00,0x1B,0x01,2372000D0744C556CA532D59E4F072018049FDDF26E4FFFFE3F7FF5D01C01417B09AD40370421B01
74990,4077182687,558,7,0x00,0x0D,5924662.162635307,-45500196.564479485,278651027.86369103,809323203,-1063897,1476393635,0.03083935481760329,-0.05978817059840192,0.36704712561252156,0.37316120319438867,0.21053098646005247,0.26364797943660706,-0.159423117045915,slerp,14966,7472,-0.39173469067062994,0.8829996630850492,-0.10866502899875764,0.2346219056046874,2746C556C553355AE4F06701,0x00,0x00,0x00,0x04,0x1B,0x01,2E72000D2746C556C553355AE4F06701C34A3D3027C4EFFFA3FAFF570080541670B5D45771421B01
105181,4077212878,582,7,0x00,0x0D,6096318.823334876,-45479914.10119717,278562565.4797275,809323203,-1719258,385874231,0.03233742240107451,-0.059701516677863525,0.36687449212102097,0.3731043727299907,0.21172865990504158,0.2629140334834431,-0.15891525578912166,slerp,15119,-7441,-0.3917168881468617,0.8830144639837274,-0.10866373573267382,0.2345965227207965,8746C596BD53655DE4F87801,0xFF,0x0F,0x00,0x04,0x09,0x01,4672000D8746C596BD53655DE4F87801C34A3D3026C4E5FF37F9FF16FF3F6A1780C5D45769420901
142615,4077250312,612,7,0x00,0x0D,6153272.172440639,-45527091.78928247,278547660.18840015,809322688,373799,1627388512,0.03222312014791297,-0.05981784197975359,0.3672197591040222,0.37345261435367905,0.2117797726366916,0.2632627248614924,-0.1590877769284966,slerp,15414,7531,-0.39171098909956376,0.8830286450022455,-0.10865767181520364,0.2345558003542851,274DC556AE53FD5EE4EC7501,0x01,0x00,0x00,0x04,0x12,0x01,6472000D274DC556AE53FD5EE4EC7501C0483D3027B4050060FAFF6001005517F0AFD45779421201
172646,4077280343,636,7,0x00,0x0D,6054644.352972541,-45635346.790722474,278484653.154892,-1875031804,-396249,1660943351,0.03199518999116605,-0.060104777724415755,0.3671617650404712,0.373422064419748,0.2115398986527336,0.26350874575054317,-0.15892781501824432,slerp,15004,-7472,-0.3917125575309451,0.883036164537476,-0.10866128271306215,0.2345231972122624,4747C536A153355FE4F47301,0x01,0x00,0x00,0x0C,0x00,0x01,7C72000D4747C536A153355FE4F4730104493D9027F4F9FFF7FBFF6201C02A17C07AD4AF76420001
210116,4077317813,666,7,0x00,0x0D,6080548.205355358,-45309249.06361154,278752104.32984746,-801289281,328742,-1409286488,0.03268572395716854,-0.05970286537701587,0.3670174542311699,0.3732755020024207,0.2120491300182654,0.2628909408442358,-0.1589280342661057,slerp,15013,7491,-0.3917098172035395,0.8830445578769412,-0.10866407648722466,0.23449487497910415,0746C5969553D55EE4F47B01,0x01,0x00,0x00,0x08,0x00,0x01,9A72000D0746C5969553D55EE4F47B01BF4B3DD026040500A8FEFFAB01C0AA1740C5D4FB6F420001
225084,4077332781,677,7,0x00,0x0D,6020278.329417262,-45482782.62973099,278670563.943128,1883064769,-1006553,251656495,0.031416598054808495,-0.06007578069264026,0.36704712561252156,0.37325553509570597,0.21096127318734684,0.2636367894620128,-0.15909330261490506,slerp,14981,7446,-0.3917078078846066,0.8830488994420078,-0.10866911604739415,0.2344795463446076,0745C5669253455FE4F06B01,0x03,0x00,0x00,0x04,0x12,0x01,A572000D0745C5669253455FE4F06B01C1493D7027A4F0FF2FF9FF0E0380BF162080D45771421201
240117,4077347814,690,7,0x00,0x0D,6107118.845445705,-45726939.37374392,278612958.76356566,1073563522,-343001,-1224737833,0.03187515576660702,-0.060392387818654095,0.36701880293032224,0.373317649952411,0.21134047284860497,0.26365835170825935,-0.15869954592437494,slerp,15425,7498,-0.39170515106855713,0.8830538874878932,-0.1086763453543083,0.23446184845153234,273EC59689536560E4F46901,0x01,0x00,0x00,0x00,0x09,0x01,B272000D273EC59689536560E4F469018247FD3F27C4FAFFD7FBFFB6018014177045D40370420901
