elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
7219,4157364114,2806,7,0x00,0x0D,6155207.549054293,-45253220.48088175,278519896.7260852,1346194370,-1338330,-50333413,0.03222042274960827,-0.059759173566626425,0.36684616943882165,0.3730756310715916,0.1730930697835801,0.2664952232911145,-0.19545974433468905,slerp,14698,7219,-0.3768496605398383,0.9049066636684554,-0.12092709252849183,0.15654041552276257,27C5A1E6B3E2A421EFEC7001,0x01,0x00,0x00,0x00,0x12,0x01,F67A000D27C5A1E6B3E2A421EFEC7001C24B3D502694EBFF1BF9FFFC01805417D0BAD40368421201
44774,4157401669,2836,7,0x00,0x0D,6084915.820851688,-45463461.72420238,278662057.46629286,-1875031487,-7130,1442838235,0.03245105030465988,-0.06001879815345353,0.36719008772267053,0.3734754172893352,0.17344403446555517,0.2668225906879149,-0.19546549395313706,slerp,14982,-7426,-0.3768536945248937,0.9049097373770666,-0.12093571411104634,0.1565062720007028,47BDA1C6A6E23421EFF47801,0x01,0x00,0x00,0x0C,0x09,0x01,147B000D47BDA1C6A6E23421EFF47801414A3D9026E4FFFFDBF6FF5501407F17B08AD4FF77420901
74696,4157431591,2860,7,0x00,0x0D,6064357.327982415,-45355616.69779524,278574603.8233531,-1069724927,-723930,1493171191,0.03233910827501495,-0.05987482451894032,0.36675850399391896,0.3730182472574961,0.17315369792580973,0.2664849864113099,-0.1953104239384983,slerp,15013,7503,-0.3768514530769699,0.9049138832371031,-0.12093896991307769,0.15648518075168233,87B7A1669DE2C420EFFC7601,0x00,0x00,0x00,0x0C,0x12,0x01,2C7B000D87B7A1669DE2C420EFFC7601014B3DC026F4F4FFF7FBFF5800806A1760A5D4FF63421201
89695,4157446590,2871,7,0x00,0x0D,6041961.6862131,-45317532.52961951,278530652.56267077,272452931,-1678297,301988551,0.03176321373696209,-0.05958620290033772,0.36701880293032224,0.37317853505713167,0.17268487898135382,0.26664794668578595,-0.19580864160408312,slerp,15007,7489,-0.37684576849387724,0.9049181816391069,-0.12093634067659613,0.15647604548615648,87BAA1F69AE28422EFF46A01,0x00,0x00,0x00,0x00,0x1B,0x01,377B000D87BAA1F69AE28422EFF46A01434D3D102764E6FFC7FAFF1100C0FF16E0DAD40370421B01
128589,4157485484,2901,7,0x00,0x0D,6072669.875033378,-45338312.96021362,278668518.52389854,268258690,-11225,1375730715,0.032913654113915454,-0.05970252820222778,0.366673535947321,0.372957346710022,0.17360965427527103,0.26611777680925713,-0.19529003884862844,slerp,14980,-6098,-0.3768324302953777,0.9049293028021955,-0.12093014010346277,0.15644864212312104,E7BDA16691E2C424EFF87301,0x00,0x00,0x00,0x00,0x00,0x01,557B000DE7BDA16691E2C424EFF87301824DFD0F27D4FFFF1BFCFF510000D51750C5D40360420001
157197,4157514092,2925,7,0x00,0x0D,6033337.191135734,-45344483.81902124,278571806.6703601,-801289279,-703450,-1073742181,0.03280272360863478,-0.059903484375927726,0.3670754482947209,0.37337491996288635,0.1736663938828787,0.26655397196206776,-0.1954425606776933,slerp,15162,7504,-0.37682887794284214,0.9049343404629047,-0.12092804849926983,0.15642967520731027,87C0A1868AE27425EF007701,0xFF,0x0F,0x00,0x08,0x00,0x01,6D7B000D87C0A1868AE27425EF007701C14B3DD02644F5FF9BFEFFBFFF7FC01710A0D4AB72420001
194691,4157551586,2955,7,0x00,0x0D,6288331.672058301,-45399566.89193033,278650504.14219695,1614630465,5158,1795159028,0.03314023557151002,-0.05955821739292648,0.36696080886677124,0.37323677701549357,0.17388372210697672,0.2661312352800038,-0.1955615210399944,slerp,22504,7501,-0.3768236771869097,0.904941249916035,-0.12092942348458303,0.1564011670270601,C7BFA1667EE26C26EFF47F01,0x03,0x00,0x00,0x00,0x09,0x01,8B7B000DC7BFA1667EE26C26EFF47F01414E3D6026140000F4F3FF6A0300FF1710E0D4536D420901
217201,4157574096,2972,12,0x00,0x0E,6206878.835118915,-45350300.16110247,278715923.01507,4254,100663296,-198706540,nan,nan,nan,nan,nan,nan,nan,slerp,22495,7507,-0.3768230009188826,0.9049449190859195,-0.12093708156091675,0.15637564293263415,C76EA865274E9BBCE3052CF5,0xFF,0x0B,0x00,0x04,0x15,0x01,9CCB000EC76EA865274E9BBCE3052CF59E1000000000000694FA27F4FFFBFF010018D0D46F421501
224693,4157581588,2979,7,0x00,0x0D,6215669.070993554,-45311250.504912205,278667814.35021114,1002261730,-1420249,-1308625617,0.032909608016458404,-0.05958620290033772,0.3673060758497725,0.3735603180639453,0.17378604705385625,0.26645295858103923,-0.19582783751255037,slerp,22495,-7496,-0.3768213164688585,0.9049470963171912,-0.12093816241632308,0.1563662661609715,C7BAA1E672E21C27EF988601,0x01,0x00,0x00,0x08,0x12,0x01,A37B000DC7BAA1E672E21C27EF988601E24CBD3B2754EAFF2FF5FFB10140D417E0DAD45B7D421201
254716,4157611611,3003,7,0x00,0x0D,6153560.81101943,-45330932.28906042,278667868.507852,-805483904,-383961,-1459619141,0.03222312014791297,-0.0597308508844271,0.3671914364218229,0.3734108394261823,0.17310815231272014,0.2667111926545579,-0.19579162984312032,slerp,15028,-7490,-0.37681604631911614,0.9049541589713063,-0.12094276613002425,0.1563345282328369,C7B6A13666E2AC27EFF47701,0x01,0x00,0x00,0x00,0x12,0x01,BB7B000DC7B6A13666E2AC27EFF47701804AFDCF2724FAFFBBFAFFA80100551710C0D40378421201
