elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
29962,4223686968,2237,7,0x00,0x0D,6115374.907377707,-45470677.31114675,278741018.60465115,1073563711,-367577,1761605627,0.033026944842712735,-0.05993248140770322,0.36724808178622154,0.373569049827455,0.1405089684818957,0.26830500544106795,-0.21868582217512353,slerp,14964,7473,-0.36483340262556396,0.9169362126541111,-0.13083140228788157,0.09490897969936543,071285B67289FCD4F7FC7901,0x01,0x00,0x00,0x08,0x09,0x01,BD78000D071285B67289FCD4F7FC79013F48FD3F2764FAFFFBF7FF680100EA17B09AD4AB7A420901
59941,4223716947,2261,7,0x00,0x0D,6257600.123639762,-45635010.89231591,278658087.37886375,540886531,-1706969,1778383507,0.03337356052486633,-0.06007578069264026,0.3672197591040222,0.37359502866654054,0.1408408195883199,0.2682798100050957,-0.21854759784924038,slerp,14979,7430,-0.3648291721684905,0.9169392635329593,-0.13084207287260904,0.09488105233863621,A70A85866889B4D5F7F88201,0x02,0x00,0x00,0x04,0x24,0x01,D578000DA70A85866889B4D5F7F8820103463D2027F4E5FF93FAFF6902402A182080D45779422401
97444,4223754450,2291,7,0x00,0x0D,6071505.026658609,-45565932.38624765,278924455.8259468,-2143467453,-1002456,1526726295,0.03222446884706531,-0.06007578069264026,0.3676216714514221,0.37388930064799,0.13983918258175426,0.2688938177038228,-0.2189390941667868,slerp,14892,7399,-0.3648182476461461,0.9169471585644327,-0.13084091131079897,0.09484835534877786,070D85365B89F4D7F7F47801,0x01,0x00,0x00,0x0C,0x12,0x01,F378000D070D85365B89F4D7F7F4780143483D8028B4F0FF97FEFF5A014055172080D4FF8B421201
112444,4223769450,2302,7,0x00,0x0D,6159358.013409833,-45538398.50290213,278716284.3962906,-264419197,-1412058,-1291847977,0.031991143893709,-0.06007578069264026,0.3669028148032203,0.373162442140128,0.139416214691341,0.26850166252920693,-0.21844950108474537,slerp,14989,-7482,-0.3648126210328672,0.9169504389189128,-0.1308444919738844,0.09483334340641454,C70785865689CCD8F7F07601,0x00,0x00,0x00,0x0C,0x00,0x01,FE78000DC70785865689CCD8F7F0760183483DF02674EAFFD7F6FFB200002A172080D4AF6A420001
127475,4223784481,2315,7,0x00,0x0D,6299105.448459795,-45513827.77356981,278602080.7830377,272451904,-1051609,-1308624253,0.033260269796069046,-0.05998946394688995,0.3671334423582719,0.3734862056748242,0.14065742245064589,0.2681974160695984,-0.2185808348243468,slerp,14998,-7449,-0.3648087433053187,0.9169532104339506,-0.1308477531193109,0.09481696149156627,870685D64F8964D9F7F07C01,0x01,0x00,0x00,0x04,0x09,0x01,0B79000D870685D64F8964D9F7F07C0140493D1027F4EFFF83FAFFB1014015182090D45775420901
142427,4223799433,2326,7,0x00,0x0D,6320426.609827552,-45552402.81057327,278700078.3093415,272452289,341031,-1509951836,0.033026944842712735,-0.059903821550715816,0.3671334423582719,0.37345175246590845,0.1404144019540563,0.2682107099887453,-0.2186618901205145,slerp,15019,7503,-0.3648077373000111,0.9169547010321873,-0.13084935957311158,0.09480419906483298,670385564B89FCD9F7F48301,0x00,0x00,0x00,0x00,0x09,0x01,1679000D670385564B89FCD9F7F48301C14A3D1027340500A4F6FFA50000EA1700A0D45375420901
172440,4223829446,2350,7,0x00,0x0D,6287147.085095032,-45410330.098032676,278644926.5765922,4016833,-1719258,-1191185373,0.032910956715610756,-0.05996012974032637,0.3667598526930713,0.3730832853102065,0.14019526693431084,0.2680479784462212,-0.21837286039700193,slerp,14995,-7494,-0.3648050813249234,0.9169585325720666,-0.13085294168897452,0.09477241072242694,8701853640891CDAF7F07A01,0x00,0x00,0x00,0x00,0x1B,0x01,2E79000D8701853640891CDAF7F07A01C14A3D0026C4E5FF23F4FFB80080D4179095D40364421B01
209912,4223866918,2380,7,0x00,0x0D,6034426.755177908,-45432770.67498672,278713569.32979286,1346193666,-347097,1509948115,0.031416598054808495,-0.059817167630177415,0.3671334423582719,0.37329888919533194,0.13883680698714723,0.26865440459080203,-0.2188634565066631,slerp,15064,7494,-0.3648068079878759,0.9169599247184508,-0.13086540664720886,0.09473507612859651,27FA84F6308924DAF7F06C01,0x02,0x00,0x00,0x04,0x12,0x01,4C79000D27FA84F6308924DAF7F06C0102493D5027B4FAFFD3FAFF590280BF1610B0D45775421201
239902,4223896908,2404,7,0x00,0x0D,6097879.571561338,-45438088.72490706,278653713.9628253,536693121,-1059801,-67110909,0.03222278297312488,-0.06001846097866544,0.3669324861845719,0.37320232156080135,0.13956569446615597,0.2684183811941282,-0.2185245120888616,slerp,15064,7462,-0.36480586010214877,0.9169618607596195,-0.13087819113468738,0.09470232010199002,07EF84862589CCD9F7EC7001,0xFF,0x0F,0x00,0x04,0x09,0x01,6479000D07EF84862589CCD9F7EC70018149FD1F27D4EFFF03F8FFFBFFFF5417C08AD4076C420901
277472,4223934478,2434,7,0x00,0x0D,6166874.116578101,-45630542.26464607,278545284.9145181,1614629699,-998361,184546675,0.03268032916055914,-0.06001846097866544,0.36696080886677124,0.37326994898658145,0.13998592848875524,0.2682929306013903,-0.21852528007281835,slerp,15243,7567,-0.364791104792505,0.9169710803327259,-0.1308793745627919,0.094668247114592,47EE84B61889C4DCF7E87901,0x01,0x00,0x00,0x08,0x00,0x01,8279000D47EE84B61889C4DCF7E87901434B3D6027C4F0FF73F5FF0A01C0A917C08AD45B6D420001
