elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
22520,52223734,2031,7,0x00,0x0D,6077585.828811973,-45538217.07790993,278508156.7414139,-1875031230,-1121242,1660942679,0.03210713202081098,-0.05981683045538933,0.36658587050241837,0.37281915399338916,0.0746892858343624,0.2697900159392409,-0.24622952598216874,slerp,14966,-7457,-0.3436696089563965,0.9269767618100833,-0.14949718769780798,-0.015996056210709715,47034FE6D6E8DB2707F16C01,0x01,0x00,0x00,0x0C,0x12,0x01,EF77000D47034FE6D6E8DB2707F16C01424B3D9026E4EEFF57F9FF6201803F1720B0D4FF5B421201
60015,52261229,2061,7,0x00,0x0D,6060336.390050612,-45509104.39690996,278402535.9190197,-1338160961,1062,1426061296,0.0323350621775579,-0.06004745801044094,0.36673018131171964,0.3730178003051181,0.07496653058776122,0.2699899479228386,-0.2462269819835473,slerp,15016,-7497,-0.34366742952695345,0.9269765250040323,-0.14950060438724252,-0.016024645444892224,87004FF6CCE8B32807F17101,0x00,0x00,0x00,0x08,0x1B,0x01,0D78000D87004FF6CCE8B32807F17101BF483DB026040000F0F7FF5400C069176085D4AB62421B01
90155,52291369,2085,7,0x00,0x0D,6202816.596357815,-45486150.51110666,278571828.62037224,-264418813,-2100186,1358952099,0.03279631728766112,-0.05981615610581315,0.3670754482947209,0.37336035635787346,0.07534838807765755,0.2699228712914342,-0.246702694893195,slerp,14991,7464,-0.3436622927597745,0.9269770259165123,-0.14950621864772973,-0.01605342778754851,27FC4E86C1E8732907F57A01,0x02,0x00,0x00,0x0C,0x12,0x01,2578000D27FC4E86C1E8732907F57A01034A3DF026F4DFFFA3F6FF500240BF1740B0D4AF72421201
127666,52328880,2115,7,0x00,0x0D,6276327.24084817,-45546731.127825566,278599097.4642929,1346193794,-740314,-1258292177,0.032453747702964574,-0.05993214423291514,0.36678817537527064,0.37306658018032507,0.07501420427567272,0.26991206604778567,-0.24637170902144245,slerp,14997,-7446,-0.34365323968520095,0.9269796635245316,-0.14950748712761835,-0.01608308299416,C7FA4EE6B5E8C32A07F17C01,0x00,0x00,0x00,0x08,0x09,0x01,4378000DC7FA4EE6B5E8C32A07F17C0182493D5026B4F4FF2FFCFFB400C07F17C09AD45B65420901
142612,52343826,2126,7,0x00,0x0D,6183647.023711203,-45492179.24550419,278735467.6200879,-2143467518,-27609,1358953171,0.032453747702964574,-0.05996114126469063,0.3673343985319718,0.3736082768710797,0.07505448253569674,0.27028318287801856,-0.24677311492787,slerp,15014,7500,-0.3436493872755554,0.9269811930797458,-0.14950570407881927,-0.016093810906151546,67FB4E26B2E8132C07F57B01,0x01,0x00,0x00,0x08,0x09,0x01,4E78000D67FB4E26B2E8132C07F57B0102483D802794FFFFD3FAFF5001C07F176095D4AB7E420901
157614,52358828,2139,7,0x00,0x0D,6183169.308401229,-45426896.92854281,278702792.65927607,-1333965821,-1002457,-16779317,0.0329123054147631,-0.059701516677863525,0.36704712561252156,0.373324367489943,0.0753872640368471,0.26979049389798737,-0.2467811443062147,slerp,14974,-7486,-0.34364690001989856,0.9269816239885109,-0.14950715777120646,-0.01610858992936344,87FC4E66ADE8832C07F17F01,0x01,0x00,0x00,0x04,0x00,0x01,5B78000D87FC4E66ADE8832C07F17F01034C7DB027B4F0FFCBF7FFFE01C0D41780C5D45771420001
172622,52373836,2150,7,0x00,0x0D,6232819.154025128,-45492146.880010635,278462571.64661306,1346193985,-1072090,-218104825,0.03349089735112066,-0.05987448734415223,0.36687449212102097,0.373233824042202,0.07596706633427579,0.26964943572655864,-0.24662050615080186,slerp,15043,-7521,-0.3436423061334165,0.926982468426252,-0.1495106979056315,-0.016125131858409518,67F94EF6A6E8A32C07F17D01,0x01,0x00,0x00,0x04,0x09,0x01,6678000D67F94EF6A6E8A32C07F17D01414A3D5026A4EFFF07FCFFF20100401870A5D45769420901
202611,52403825,2174,7,0x00,0x0D,6207003.916805547,-45529483.22378508,278652669.39110726,-2143467260,-359386,201325243,0.03337490922401868,-0.06004745801044094,0.3667598526930713,0.3731385417330546,0.07587592997169605,0.269729735805576,-0.2464164852436927,slerp,15001,-7485,-0.34363197517768346,0.9269849286430627,-0.14951541734639187,-0.016160064351182786,C7F34EE699E8732F07F57901,0x00,0x00,0x00,0x00,0x12,0x01,7E78000DC7F34EE699E8732F07F5790104493D802684FAFFBBFAFF0B00802A186085D40364421201
240148,52441362,2204,7,0x00,0x0D,6366557.368832891,-45518917.233952254,278380934.18143237,540887620,-1387482,-1426065021,0.03360418807991794,-0.059903484375927726,0.36673018131171964,0.37310681417231484,0.07602767531166132,0.26954476078044753,-0.24652405421039592,slerp,15080,7523,-0.34362073357946327,0.9269881055350301,-0.14951766865535182,-0.016195999838107118,87F44E668DE8E33007F18501,0x01,0x00,0x00,0x08,0x24,0x01,9C78000D87F44E668DE8E33007F18501444A3D2026D4EAFF83F9FFAA0100551810A0D4AB62422401
270137,52471351,2228,7,0x00,0x0D,6082974.725194391,-45535644.80653951,278615753.6040407,-1065531389,-1039322,-1560282449,0.032913654113915454,-0.05990314720113964,0.36696080886677124,0.37327192623593713,0.075369326259976,0.26987507434501845,-0.2466147599440775,slerp,15047,-7502,-0.343613642103936,0.9269885088316897,-0.14952832115963363,-0.01622500000770394,07EC4E2682E89B3207F57401,0x01,0x00,0x00,0x00,0x09,0x01,B478000D07EC4E2682E89B3207F5740103487DC02624F0FFAFFAFFA20100D51720A0D4536D420901
309051,52510265,2258,7,0x00,0x0D,6081272.084366254,-45488034.88684526,278374448.2814874,1346194179,-31707,318765043,0.03164587691070776,-0.059903484375927726,0.36649955375666804,0.3727087493870535,0.0741050282892773,0.26991796962373127,-0.24609865161375716,slerp,15006,-6051,-0.34360921285810025,0.9269886587553234,-0.1495338608843211,-0.016259145951492502,A7E74E8675E89B3307F96B01,0x01,0x00,0x00,0x0C,0x09,0x01,D278000DA7E74E8675E89B3307F96B01034B3D502584FFFFF3F7FF120100EA1610A0D4FF57420901
322624,52523838,2269,7,0x00,0x0D,6107177.863457564,-45563676.29575305,278632364.20988065,540887489,-363481,184549071,0.03314563036811941,-0.059903821550715816,0.3671334423582719,0.3734622673667509,0.07557732074351012,0.26992649033929994,-0.24678294825424013,slerp,14999,-7477,-0.3436080797619012,0.9269885007852907,-0.14953634973331983,-0.016269205346677917,C7E44E1671E8633307F97B01,0x01,0x00,0x00,0x00,0x12,0x01,DD78000DC7E44E1671E8633307F97B01C1493D202774FAFFCFFEFF0A0100001800A0D45375421201
337597,52538811,2282,7,0x00,0x0D,6165029.168374817,-45596030.8782111,278722163.35418606,-2143467517,-1809369,1358952767,0.032221771448760615,-0.05993146988333896,0.3671914364218229,0.3734428666063864,0.07470083520070507,0.2702281612667746,-0.24669029307593468,slerp,15026,7496,-0.34360353901209767,0.9269895716566896,-0.14953895555843713,-0.016280134784482366,A7E54E066DE81B3407F16C01,0x01,0x00,0x00,0x04,0x12,0x01,EA78000DA7E54E066DE81B3407F16C0103483D802764E4FF3FF9FF5001C05417E09AD40778421201
352675,52553889,2293,7,0x00,0x0D,6164441.303694301,-45667954.503306836,278579419.46369165,-264419388,-695258,134216027,0.032453747702964574,-0.060105114899203844,0.36698913154897056,0.37329196783761875,0.07494978220817357,0.27016049703320183,-0.2464604009608897,slerp,14969,-7421,-0.3435991400577817,0.9269903494153449,-0.14954275498725456,-0.016293786336877752,87E14EC668E86B3507F97C01,0x02,0x00,0x00,0x08,0x09,0x01,F578000D87E14EC668E86B3507F97C01C4473DF02664F5FF5BF9FF0702C07F17B07AD4AB6E420901
390113,52591327,2323,7,0x00,0x0D,6236986.008093104,-45634481.29837469,278544082.535215,-2143467454,-1715162,1509947707,0.03233641087671025,-0.06001778662908927,0.36698913154897056,0.3732677334773392,0.07479674005368797,0.27012871320174336,-0.24650502395817664,slerp,14951,7448,-0.34359380131895334,0.9269902970315265,-0.1495522030796711,-0.0163226057543162,E7DB4E465DE8333607ED8201,0x01,0x00,0x00,0x0C,0x36,0x01,1379000DE7DB4E465DE8333607ED820142483D8026D4E5FF3BF9FF5901006A17E08AD4AF6E423601
420120,52621334,2347,7,0x00,0x0D,6192048.392073414,-45355694.42159861,278544592.7809549,-801289406,-1031130,-1577058985,0.03302964224101743,-0.05984515313758865,0.3669311374854196,0.3732436995810846,0.07538802245270274,0.26978235930366656,-0.24666776026913828,slerp,15038,7504,-0.34358743228189703,0.9269907820653616,-0.1495606352321698,-0.01635184187582327,07D54E0653E8733707F18001,0x02,0x00,0x00,0x0C,0x12,0x01,2B79000D07D54E0653E8733707F18001424B3DD02644F0FF57FDFFA10280EA17E0AAD4FF6B421201
