elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
0,69869329,3759,7,0x00,0x0D,6223775.0,-45622656.0,278681216.0,-1073920319,-748505,-1627392325,0.03244970160550753,-0.060191431644954156,0.3672197591040222,0.3735322516921019,0.06544294577832938,0.2704865575305023,-0.2491597601887685,nearest,,-7466,-0.34048550733138,0.927410496542638,-0.15157814824318613,-0.0316773606065454,87FB48B624D26B7509FD7301,0x01,0x00,0x00,0x04,0x1B,0x01,AF7E000D87FB48B624D26B7509FD7301C146FDBF2794F4FFBBF6FF9E01007F17B06AD45779421B01
29926,69899255,3783,7,0x00,0x0D,6160264.8526063515,-45602035.84661474,278588184.34991014,-268613442,-15322,1593833443,0.03244970160550753,-0.05999013829646613,0.3669324861845719,0.3732174289133704,0.06536191555344842,0.2701593688522002,-0.2490642179464393,slerp,15021,7470,-0.34048811180837185,0.927407349838038,-0.15158798078616328,-0.03169443586389487,A7F448F61AD2A37509F57501,0x01,0x00,0x00,0x00,0x09,0x01,C77E000DA7F448F61AD2A37509F57501BE48FDEF26C4FFFFE3F7FF5E01007F170090D4036C420901
67472,69936801,3813,7,0x00,0x0D,6204193.19236417,-45521783.75917768,278566327.11894274,1077758211,-1022937,16777183,0.03303099094016978,-0.05981683045538933,0.3671037709769202,0.37340899591961285,0.0658515343598822,0.26999137273850415,-0.24940431492442314,slerp,14982,-7436,-0.3404779023354113,0.9274102395247419,-0.1515875248355391,-0.03172172694185999,E7F648D60FD2DB7709E97B01,0x01,0x00,0x00,0x0C,0x09,0x01,E57E000DE7F648D60FD2DB7709E97B0103493D402764F0FFDFFFFF0001C0EA1720B0D4FF73420901
82497,69951826,3824,7,0x00,0x0D,6174604.178654601,-45418318.75068201,278571852.5006321,-1342354816,-1412058,-1358956901,0.03176051633865739,-0.05981649328060124,0.36681649805746996,0.3730162014090436,0.06462143999788401,0.2701358635871032,-0.24898146760408119,slerp,15029,-7440,-0.3404735618162814,0.9274113490647646,-0.15158808072527627,-0.031733217801468386,E7F348960CD2037809ED7801,0x01,0x00,0x00,0x0C,0x09,0x01,F07E000DE7F348960CD2037809ED7801804AFDAF2674EAFF9BF6FFAE0140FF1630B0D4AF66420901
97441,69966770,3837,7,0x00,0x0D,6159453.814780231,-45476296.18461949,278596301.60634965,540887682,-1059801,-1375733425,0.032797328812025385,-0.05984549031237674,0.36684616943882165,0.37313973189660404,0.0656099168241997,0.2699067397040835,-0.2491564773320239,slerp,14993,-7489,-0.3404704596046685,0.9274120272080241,-0.15158817860519086,-0.0317462129024872,C7F2481607D2437909F57101,0xFF,0x0F,0x00,0x00,0x12,0x01,FD7E000DC7F2481607D2437909F57101824A3D2027D4EFFF4FF9FFADFF7FBF17D0AAD40368421201
112461,69981790,3848,7,0x00,0x0D,6101344.371674335,-45621003.535107024,278429027.4972328,-801290303,-1432538,1627387247,0.03129926122855417,-0.06013310040661508,0.36667218724816864,0.372886211087674,0.06425447743377824,0.27039151327856026,-0.24860393821491167,slerp,14997,-7466,-0.3404669955597232,0.9274127345038055,-0.15158888019262212,-0.03175934849231577,C7F348F602D2837909F57601,0x02,0x00,0x00,0x0C,0x24,0x01,087F000DC7F348F602D2837909F57601C1473DD02624EAFF6FF5FF6002C0A9168075D4FF5F422401
127412,69996741,3860,8,0x00,0x0D,6042945.865946379,-45578229.22448979,278473704.9187675,1610434688,-48090,-1749,0.031759167639505044,-0.05992506356236531,0.36671669432019616,0.3729353722365846,0.06462293657000413,0.27015143634596855,-0.2488430617367484,slerp,14994,7485,-0.34046615984717954,0.92741190229404,-0.15159272694230594,-0.03177424460880583,27F448F6FDD1E37909F16901,0x01,0x00,0x00,0x00,0x08,0x01,148F000D27F448F6FDD1E37909F169018048FD5F2644FFFF2BF9FFFF0100FF16109CD40362420801
157437,70026766,3884,8,0x00,0x0D,6087192.704181138,-45683977.27411167,278561084.6721881,272451204,-826330,-2113931029,0.03245239900381223,-0.06022750934727948,0.36688797911254445,0.37321213846894924,0.06536620546758919,0.27029947462907783,-0.24890310062066234,slerp,14972,7483,-0.34046059945273394,0.9274115736619312,-0.15160130651528872,-0.03180247036069884,47EC4876F3D1D37A09F57301,0x01,0x00,0x00,0x0C,0x10,0x01,2C8F000D47EC4876F3D1D37A09F5730184463D102664F3FFEBF8FF8101807F170064D4FF69421001
180288,70049617,3902,7,0x00,0x0D,6017364.880317376,-45660414.7307641,278492167.4719296,1346193151,-359386,-50333037,0.03187650446575937,-0.060162771787966744,0.3669311374854196,0.3731944939338072,0.06478690261218355,0.27043130627411704,-0.2488849054067053,slerp,14998,-7151,-0.3404589989263132,0.9274103208383272,-0.15160757207734454,-0.03182626182033644,07E548E6E9D1DB7A09F16C01,0x00,0x00,0x00,0x0C,0x09,0x01,3E7F000D07E548E6E9D1DB7A09F16C01FF463D502684FAFF93FAFFFC00C014170070D4FF6B420901
217433,70086762,3932,7,0x00,0x0D,5893361.121522694,-45529205.87994143,278653980.5372022,-264418814,-338906,1493170871,0.030379448406652416,-0.059903821550715816,0.3673640699133235,0.37345379712242005,0.06328006494363027,0.2709118516587712,-0.2491387978551305,slerp,15026,-7482,-0.34045427182938237,0.9274095885633254,-0.15161475895841545,-0.03186390904942539,87E248C6DBD1237C09F16401,0x00,0x00,0x00,0x00,0x12,0x01,5C7F000D87E248C6DBD1237C09F16401024A3DF026D4FAFFB7FAFF580040FF1500A0D40380421201
