elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
15015,229527018,3598,7,0x00,0x0D,6222400.483793196,-45577185.43798553,278723730.2844897,1346193923,-2096090,-1275069453,0.03372017620701992,-0.05993146988333896,0.36681649805746996,0.37320661115922893,-0.022040939265891887,0.26869195511657085,-0.25807364232882796,slerp,14932,-7392,-0.31006662196979706,0.9183937186590554,-0.1740915609165315,-0.173504454944178,67C807E6BD04B37C1FF18001,0x02,0x00,0x00,0x08,0x09,0x01,0E7E000D67C807E6BD04B37C1FF18001034A3D502604E0FFF3FBFFB302806A18E09AD4AB66420901
29994,229541997,3609,7,0x00,0x0D,6232373.027034208,-45554871.990966454,278505370.3396878,272451584,-642010,-117442597,0.03233641087671025,-0.06007645504221643,0.3666438645659693,0.37293772582389106,-0.0231685968166412,0.2689847322675474,-0.25727995893811767,slerp,15055,-7468,-0.31006302200660857,0.9183918067264233,-0.17409341485999683,-0.17351914771658614,67C30746B9045B7D1FF97801,0x00,0x00,0x00,0x08,0x09,0x01,197E000D67C30746B9045B7D1FF9780100483D102634F6FFDBF7FFF800006A170080D4AB5E420901
59976,229571979,3633,7,0x00,0x0D,6166687.691794975,-45616835.08711591,278252809.5490235,-1606596862,-1022938,-1174407881,0.03222008557482018,-0.06021975432715348,0.36698913154897056,0.37329020265838625,-0.023299953392722984,0.2693330800688043,-0.25741480057154265,slerp,15003,-7496,-0.31005590400110766,0.9183878708336186,-0.1740987255522143,-0.17354736777273036,27C10746AE04137F1FED7301,0xFF,0x0F,0x00,0x0C,0x09,0x01,317E000D27C10746AE04137F1FED730102473DA02664F0FF37F5FFB9FF7F54177065D4AF6E420901
97450,229609453,3663,7,0x00,0x0D,6372388.087150764,-45579475.67593519,278549883.07954925,-264419582,-302042,1509947679,0.03279631728766112,-0.060105114899203844,0.36681649805746996,0.3731522028768225,-0.022830232995133926,0.2690183865080769,-0.25758582005577124,slerp,14997,7451,-0.3100518215485065,0.9183808249351899,-0.17410382444339678,-0.17358682743801765,C7BE07E69F04BB7F1FF98101,0x02,0x00,0x00,0x0C,0x09,0x01,4F7E000DC7BE07E69F04BB7F1FF9810102473DF02664FBFF1FF9FF590240BF17B07AD4AF66420901
127458,229639461,3687,7,0x00,0x0D,6344339.351414155,-45661518.07940513,278506370.71092814,-1069725695,-39899,33553759,0.03279901468596582,-0.06007645504221643,0.36678817537527064,0.3731199825926373,-0.022851864720423325,0.2689801239256738,-0.25757718575537436,slerp,15062,-7513,-0.3100486521045787,0.9183740369332883,-0.1741134820193554,-0.1736187115321523,C7B607469304E37F1FF17E01,0x01,0x00,0x00,0x04,0x09,0x01,677E000DC7B607469304E37F1FF17E0101483DC02564FFFF5FFDFF0101C0BF170080D45765420901
165031,229677034,3717,7,0x00,0x0D,6211820.276573101,-45587777.588577,278507252.5684892,-1875032126,-1776602,-1426064417,0.032684038083228104,-0.06001778662908927,0.3666438645659693,0.3729585827959314,-0.022966779541631236,0.2688672224086673,-0.2574510598791235,slerp,22551,7586,-0.3100378160834665,0.918369872867568,-0.17412293921533983,-0.17365060105399197,C7AF07A68604F3811FF18101,0xFF,0x0F,0x00,0x0C,0x00,0x01,857E000DC7AF07A68604F3811FF18101C2473D9026E4E4FFDFFBFFAAFF7FAA17E08AD4AF5E420001
187465,229699468,3734,13,0x00,0x0E,6198074.870141421,-45557149.061638355,278434841.7297874,-134213483,98566911,-467273068,nan,nan,nan,nan,nan,nan,nan,slerp,22486,7469,-0.3100272373692588,0.9183707768175419,-0.17412323506117675,-0.1736644102531091,87EC812148300E7E040628F5,0xFF,0x07,0x00,0x04,0x00,0x01,96DE000E87EC812148300E7E040628F5951000F8FF02E00594FA25E4FF070001C01780D467420001
194963,229706966,3741,7,0x00,0x0D,6187481.769367606,-45617210.4224851,278555076.49132794,-205699154,-2067418,150993955,0.03245239900381223,-0.060276736866340205,0.36724808178622154,0.3735740847328892,-0.023202178974790474,0.2694836095280392,-0.2576777830364446,slerp,22486,-7519,-0.3100212222796815,0.9183712809015263,-0.1741252447757565,-0.17367046750465423,A7AC07267F0403851FB17501,0x01,0x00,0x00,0x0C,0x1B,0x01,9D7E000DA7AC07267F0403851FB17501AE47BDF32674E0FF23FCFF0801807F17E05AD4AF7A421B01
209994,229721997,3752,7,0x00,0x0D,6200979.4994629435,-45633564.19119227,278661866.5864662,809322819,-1403866,150993591,0.03302964224101743,-0.06004644648607668,0.3669028148032203,0.3732481862148844,-0.022729247047951272,0.26896778216182415,-0.2577865822735616,slerp,14896,-7384,-0.3100117045882879,0.9183716966512285,-0.17412762143663735,-0.17368287555492384,67AC07E67B04EB861FF57D01,0x02,0x00,0x00,0x0C,0x00,0x01,A87E000D67AC07E67B04EB861FF57D0143493D302694EAFFB7FAFF080280EA179085D4AF6A420001
241338,229753341,3776,7,0x00,0x0D,6212642.677322677,-45508057.92607392,278581808.9004329,-1875031356,-289754,-100664309,0.03314428166896707,-0.0597308508844271,0.3669028148032203,0.3732077082071801,-0.02278065070261248,0.26870412232220464,-0.2579983140756446,slerp,15015,-6115,-0.31000002291856404,0.9183696781645563,-0.17413281550040016,-0.1737091896945087,67AC0796730453891FF58401,0x02,0x00,0x00,0x08,0x00,0x01,C07E000D67AC0796730453891FF58401C44A3D902694FBFF0BFCFFF902C0FF1710C0D4AB6A420001
277447,229789450,3806,7,0x00,0x0D,6256236.4773654295,-45437560.2819124,278594744.9131394,-1606595902,-1330138,-1291847749,0.033026944842712735,-0.05990314720113964,0.3666438645659693,0.372970360154951,-0.022782598769909117,0.2686940604574316,-0.2576651792972837,slerp,14955,7442,-0.30999088581174367,0.9183647779010125,-0.17413437953099822,-0.17374982961093538,27A607C66304AB8A1FED7B01,0x01,0x00,0x00,0x08,0x12,0x01,DE7E000D27A607C66304AB8A1FED7B01C24A3DA026B4EBFFBBF7FFB20100EA1720A0D4AB5E421201
307467,229819470,3830,7,0x00,0x0D,6339044.851643945,-45404646.3811815,278519980.45442396,272452546,-1063897,16775795,0.03337086312656163,-0.0597021910274397,0.3669324861845719,0.3732524822916516,-0.022647335233197667,0.268651633856015,-0.2581294507998042,slerp,14964,7480,-0.3099829906071513,0.9183620507615248,-0.17413389867180754,-0.17377880937758244,47A8078658041B8C1FF18401,0x00,0x00,0x00,0x00,0x09,0x01,F67E000D47A8078658041B8C1FF18401C24B3D1027C4EFFF73FAFF0000C0291860C5D4036C420901
322443,229834446,3841,7,0x00,0x0D,6268288.395386051,-45513990.45899453,278405319.6468862,-1338160575,-666587,-1560283797,0.03222042274960827,-0.05984582748716483,0.3666438645659693,0.3728906034397432,-0.023546239686552787,0.26882183700630824,-0.2573476183663511,slerp,14998,7492,-0.30998121997267036,0.9183598386846443,-0.17413360197439653,-0.17379395449437107,C7A707865204CB8C1FF17901,0x00,0x00,0x00,0x08,0x09,0x01,017F000DC7A707865204CB8C1FF17901414A3DB025D4F5FF6BF5FFA200805417C0AAD4AB5E420901
