elapsed_us,t_us,tick,sub_index,secondary_status,sensor_status,reference_accel_x,reference_accel_y,reference_accel_z,unknown_middle_s32_0,unknown_middle_s32_1,unknown_middle_s32_2,mag_body_x,mag_body_y,mag_body_z,mag_body_norm,mag_world_x,mag_world_y,mag_world_z,orientation_method,orientation_span_us,nearest_q_age_us,q_w,q_x,q_y,q_z,unknown_lead_hex,unknown_p28,unknown_p29_low,unknown_p32_bits23,unknown_p35_bits23,unknown_or_escalation_p38,unknown_p39,native_hex
29946,267997794,1386,7,0x00,0x0D,6160171.71474359,-45589579.5625,278560886.9551282,276645894,-314330,-1342178961,0.032797665986813475,-0.06007645504221643,0.36681649805746996,0.37314770613226056,-0.044349674897683586,0.26906773663367844,-0.25470545740338413,slerp,14976,-7473,-0.3032145343275414,0.911765984577309,-0.1814966855621351,-0.20929091874771372,6755F2C5E9D0E27224F17901,0x01,0x00,0x00,0x08,0x12,0x01,6A75000D6755F2C5E9D0E27224F1790106487D102634FBFF6FF9FFAF0180BF170080D4AB66421201
61093,268028941,1410,7,0x00,0x0D,6251505.553915703,-45572125.91251163,278432306.19332534,1073564288,-310234,268433723,0.0321067948460229,-0.059903484375927726,0.36661554188377,0.3728622121727971,-0.044976576453378436,0.2689492058606606,-0.2543023033789614,slerp,7521,1190,-0.3032034481374437,0.9117635825412268,-0.18149835897516067,-0.20931599145425028,C751F255E0D0327524FD7801,0xFF,0x0F,0x00,0x08,0x12,0x01,8275000DC751F255E0D0327524FD7801804AFD3F2644FBFF3BF9FF0FFF7F3F1710A0D45B5D421201
97385,268065233,1440,7,0x00,0x0D,6126756.619301519,-45736549.32044788,278575596.9629432,4015938,-326618,1509948431,0.03256973583006656,-0.06013411193097934,0.3668448207396693,0.3731648718908145,-0.04455861419604307,0.2691745116097284,-0.2545812911701887,slerp,15004,7445,-0.3032017474475419,0.9117547024147487,-0.18150858610200055,-0.20934826519606733,E74CF2D5D5D05A7524FD7401,0x01,0x00,0x00,0x0C,0x00,0x01,A075000DE74CF2D5D5D05A7524FD740142473D002604FBFF0FFCFF59014095175075D4FF67420001
127363,268095211,1464,7,0x00,0x0D,6084587.050954134,-45652894.01754268,278816552.733311,1883064321,-1002456,67107087,0.032105783321658636,-0.06007611786742835,0.36744903795992145,0.3737094014851516,-0.04515618046201858,0.26960564464637793,-0.25481843045447655,slerp,14935,7348,-0.3031965649516717,0.9117485579394118,-0.1815182294100667,-0.20937416862818664,8746F2B5CCD0627624F17401,0x03,0x00,0x00,0x0C,0x09,0x01,B875000D8746F2B5CCD0627624F1740101483D7028B4F0FF0FF9FF0303403F171080D4FF83420901
142450,268110298,1475,7,0x00,0x0D,6118323.129572968,-45735439.873885855,278547564.3794067,-1610790976,-625626,67107867,0.032109492244327596,-0.060105114899203844,0.36673018131171964,0.3730076007458317,-0.044952996429298654,0.2691747806943334,-0.25428101731027186,slerp,15034,7500,-0.30319435747730045,0.9117460123881176,-0.18151921111614464,-0.20938759868737705,8742F215C7D06A7624F97A01,0xFF,0x0F,0x00,0x0C,0x12,0x01,C375000D8742F215C7D06A7624F97A01C047FD9F2674F6FF1BFCFF03FFFF3F17B07AD4AF62421201
157401,268125249,1488,7,0x00,0x0D,6142303.043530512,-45646753.25517426,278367127.9754306,-1069726270,-297947,-1526728385,0.03303099094016978,-0.06007645504221643,0.3664712310744687,0.37282890180103484,-0.04412403694024669,0.26880295082479966,-0.25455732755146093,slerp,14978,7417,-0.3031927170522654,0.9117431586411452,-0.18152079239988922,-0.20940102894696794,6743F255C2D05A7724F57B01,0x02,0x00,0x00,0x08,0x09,0x01,D075000D6743F255C2D05A7724F57B01C2453DC02574FBFF3FF9FFA402C0EA170080D4AB56420901
172432,268140280,1499,7,0x00,0x0D,6229726.779982686,-45509284.03729107,278399398.1072118,1610435135,-699354,-1140851721,0.03279901468596582,-0.06001846097866544,0.3669324861845719,0.3732525156515477,-0.044481295124144615,0.2690981510591736,-0.25480392446118594,slerp,15017,7470,-0.3031918278015894,0.9117386459130674,-0.18152575421053996,-0.20941766320258728,A73DF2A5BBD0027724ED7501,0x00,0x00,0x00,0x00,0x00,0x01,DB75000DA73DF2A5BBD0027724ED75013F4AFD5F2654F5FFF7FBFFBB00C0BF17C08AD4036C420001
209943,268177791,1529,7,0x00,0x0D,6063174.414362176,-45578879.873922095,278742543.4433541,1077758017,-330713,-1342178953,0.031416598054808495,-0.05998980112167804,0.3669028148032203,0.37309979145328137,-0.04567671155400721,0.26934273055382774,-0.25410939750804623,slerp,13452,6010,-0.30319075834560855,0.9117318482432513,-0.18152518168395188,-0.2094493002312686,C73FF205B0D03A7724E96E01,0x01,0x00,0x00,0x08,0x09,0x01,F975000DC73FF205B0D03A7724E96E0141483D4027F4FAFF77F9FFAF0180BF161090D4AB6A420901
239956,268207804,1553,7,0x00,0x0D,6114934.990182328,-45529906.79943899,278648455.8541374,-1606596287,-625626,1375730007,0.03164722560986011,-0.05987482451894032,0.36696080886677124,0.3731578442752213,-0.04556738011689103,0.2692443693633653,-0.25431842280797645,slerp,14973,-7455,-0.3031830151163904,0.9117284750116625,-0.18152565370397267,-0.20947478188361499,273FF2B5A7D0AA7824F57601,0x01,0x00,0x00,0x04,0x09,0x01,1176000D273FF2B5A7D0AA7824F5760141493DA02674F6FF57F9FF510140EA1660A5D4576D420901
277413,268245261,1583,7,0x00,0x0D,6291876.95624333,-45401028.98185699,278649389.5240128,805128768,-703450,1459616431,0.033489211477180224,-0.05964419696388871,0.36678817537527064,0.3731119444777274,-0.0440842627532827,0.26858718722585745,-0.2552058458334222,slerp,14992,7488,-0.3031768213313595,0.9117204035865466,-0.18153920362789103,-0.20950713171047097,E732F2B59AD02A7A24058501,0xFF,0x0F,0x00,0x04,0x00,0x01,2F76000DE732F2B59AD02A7A24058501404AFD2F2644F5FFAFFAFF56FFBF3F1820D0D45765420001
