# PicoSwitch Bridge input-report goldens: normalized state -> wire bytes.
#
# Generated from dev.picoswitch.bridge.protocol.ControllerReportEncoder and read by
# BOTH encoders (Kotlin BridgeReportGoldenTest, C# BridgeReportGoldenTests). The
# descriptor parity guard proves the two ends describe the same report; this proves
# they FILL it identically, which no descriptor comparison can show.
#
# buttons  '-' or '|'-separated ControllerButton names
# dpad     '-' or any of U R D L
# motion   '-' (no sample) or [!]gx:gy:gz:ax:ay:az:ticks   ('!' = valid flag clear)
# battery  '-' (no reading) or [!]percent:charging          ('!' = valid flag clear)
# v1/v2    uppercase hex of the 9- and 26-byte payloads (no report id)
#
# name,leftX,leftY,rightX,rightY,leftTrigger,rightTrigger,buttons,dpad,motion,battery,v1,v2
neutral,128,128,128,128,0,0,-,-,-,-,808080800000000008,8080808000000000000800000000000000000000000000000000
sticks-extremes,0,255,255,0,0,0,-,-,-,-,00FFFF000000000008,00FFFF0000000000000800000000000000000000000000000000
triggers-full,128,128,128,128,255,255,-,-,-,-,80808080FFFF000008,80808080FFFF0000000800000000000000000000000000000000
triggers-mid,128,128,128,128,1,254,-,-,-,-,8080808001FE000008,8080808001FE0000000800000000000000000000000000000000
clamp-low,-5,-1,-128,0,-7,0,-,-,-,-,000000000000000008,0000000000000000000800000000000000000000000000000000
clamp-high,300,256,1000,255,0,999,-,-,-,-,FFFFFFFF00FF000008,FFFFFFFF00FF0000000800000000000000000000000000000000
button-a,128,128,128,128,0,0,A,-,-,-,808080800000010008,8080808000000100000800000000000000000000000000000000
button-b,128,128,128,128,0,0,B,-,-,-,808080800000020008,8080808000000200000800000000000000000000000000000000
button-x,128,128,128,128,0,0,X,-,-,-,808080800000040008,8080808000000400000800000000000000000000000000000000
button-y,128,128,128,128,0,0,Y,-,-,-,808080800000080008,8080808000000800000800000000000000000000000000000000
button-l1,128,128,128,128,0,0,L1,-,-,-,808080800000100008,8080808000001000000800000000000000000000000000000000
button-r1,128,128,128,128,0,0,R1,-,-,-,808080800000200008,8080808000002000000800000000000000000000000000000000
button-l2,128,128,128,128,0,0,L2,-,-,-,808080800000400008,8080808000004000000800000000000000000000000000000000
button-r2,128,128,128,128,0,0,R2,-,-,-,808080800000800008,8080808000008000000800000000000000000000000000000000
button-select,128,128,128,128,0,0,Select,-,-,-,808080800000000108,8080808000000001000800000000000000000000000000000000
button-start,128,128,128,128,0,0,Start,-,-,-,808080800000000208,8080808000000002000800000000000000000000000000000000
button-leftstick,128,128,128,128,0,0,LeftStick,-,-,-,808080800000000408,8080808000000004000800000000000000000000000000000000
button-rightstick,128,128,128,128,0,0,RightStick,-,-,-,808080800000000808,8080808000000008000800000000000000000000000000000000
button-home,128,128,128,128,0,0,Home,-,-,-,808080800000001008,8080808000000010000800000000000000000000000000000000
button-capture,128,128,128,128,0,0,Capture,-,-,-,808080800000002008,8080808000000020000800000000000000000000000000000000
button-c,128,128,128,128,0,0,C,-,-,-,808080800000004008,8080808000000040000800000000000000000000000000000000
button-gl,128,128,128,128,0,0,GL,-,-,-,808080800000000008,8080808000000080000800000000000000000000000000000000
button-gr,128,128,128,128,0,0,GR,-,-,-,808080800000000008,8080808000000000010800000000000000000000000000000000
buttons-all,128,128,128,128,0,0,A|B|X|Y|L1|R1|L2|R2|Select|Start|LeftStick|RightStick|Home|Capture|C|GL|GR,-,-,-,808080800000FF7F08,808080800000FFFF010800000000000000000000000000000000
buttons-face-diamond,128,128,128,128,0,0,A|B|X|Y,-,-,-,8080808000000F0008,8080808000000F00000800000000000000000000000000000000
hat-up,128,128,128,128,0,0,-,U,-,-,808080800000000000,8080808000000000000000000000000000000000000000000000
hat-up-right,128,128,128,128,0,0,-,UR,-,-,808080800000000001,8080808000000000000100000000000000000000000000000000
hat-right,128,128,128,128,0,0,-,R,-,-,808080800000000002,8080808000000000000200000000000000000000000000000000
hat-right-down,128,128,128,128,0,0,-,RD,-,-,808080800000000003,8080808000000000000300000000000000000000000000000000
hat-down,128,128,128,128,0,0,-,D,-,-,808080800000000004,8080808000000000000400000000000000000000000000000000
hat-down-left,128,128,128,128,0,0,-,DL,-,-,808080800000000005,8080808000000000000500000000000000000000000000000000
hat-left,128,128,128,128,0,0,-,L,-,-,808080800000000006,8080808000000000000600000000000000000000000000000000
hat-left-up,128,128,128,128,0,0,-,LU,-,-,808080800000000007,8080808000000000000700000000000000000000000000000000
hat-opposites-vertical,128,128,128,128,0,0,-,UD,-,-,808080800000000008,8080808000000000000800000000000000000000000000000000
hat-opposites-horizontal,128,128,128,128,0,0,-,LR,-,-,808080800000000008,8080808000000000000800000000000000000000000000000000
